,"colony,date,ant_id,x,y,file_name,ant_type"
0,"N4,8/15/12,103,1281.76582,599.740506,1344,2"
1,"N4,8/15/12,103,1278.72785,581.512658,1348,2"
2,"N4,8/15/12,103,1298.47468,586.06962,1359,2"
3,"N4,8/15/12,103,1269.61392,570.879747,1362,2"
4,"N4,8/15/12,103,1310.62658,513.158228,1385,2"
5,"N4,8/15/12,103,1286.32279,526.829114,1386,2"
6,"N4,8/15/12,103,1310.62658,449.360759,1407,2"
7,"N4,8/15/12,103,1233.15823,485.816456,1438,2"
8,"N4,8/15/12,103,1193.66456,701.512658,1553,2"
9,"N4,8/15/12,103,1210.37342,751.639241,1593,2"
10,"N4,8/15/12,103,1201.25949,804.803797,1630,2"
11,"N4,8/15/12,103,1207.33544,792.651899,1636,2"
12,"N4,8/15/12,103,1236.1962,809.360759,1651,2"
13,"N4,8/15/12,103,1213.41139,804.803797,1683,2"
14,"N4,8/15/12,103,1249.86709,829.107595,1699,2"
15,"N4,8/15/12,103,1318.22152,725.816456,1807,2"
16,"N4,8/15/12,103,1333.41139,631.639241,1865,2"
17,"N4,8/15/12,103,1315.18354,608.85443,1874,2"
18,"N4,8/15/12,103,1296.9557,604.297468,1878,2"
19,"N4,8/15/12,103,1312.14557,619.487342,1883,2"
20,"N4,8/15/12,115,1243.79114,579.993671,3147,2"
21,"N4,8/15/12,115,1225.56329,484.297468,3201,2"
22,"N4,8/15/12,115,1301.51266,402.272152,3268,2"
23,"N4,8/15/12,115,1316.70253,408.348101,3285,2"
24,"N4,8/15/12,115,1309.1076,429.613924,3311,2"
25,"N4,8/15/12,115,1303.03165,422.018987,3335,2"
26,"N4,8/15/12,115,1292.39873,453.917722,3354,2"
27,"N4,8/15/12,115,1310.62658,441.765823,3361,2"
28,"N4,8/15/12,115,1313.66456,458.474684,3379,2"
29,"N4,8/15/12,115,1309.1076,463.031646,3382,2"
30,"N4,8/15/12,115,1315.18354,446.322785,3385,2"
31,"N4,8/15/12,115,1281.76582,443.28481,3393,2"
32,"N4,8/15/12,115,1278.72785,426.575949,3397,2"
33,"N4,8/15/12,115,1283.28481,406.829114,3406,2"
34,"N4,8/15/12,115,1313.66456,385.563291,3417,2"
35,"N4,8/15/12,115,1319.74051,399.234177,3426,2"
36,"N4,8/15/12,115,1312.14557,394.677215,3451,2"
37,"N4,8/15/12,115,1301.51266,384.044304,3441,2"
38,"N4,8/15/12,120,1271.13291,602.778481,3864,2"
39,"N4,8/15/12,120,1289.36076,543.537975,3875,2"
40,"N4,8/15/12,120,1313.66456,548.094937,3880,2"
41,"N4,8/15/12,120,92.398734,1120.75317,3881,2"
42,"N4,8/15/12,120,1306.06962,549.613924,3886,2"
43,"N4,8/15/12,120,1322.77848,558.727848,3911,2"
44,"N4,8/15/12,120,1353.15823,589.107595,3914,2"
45,"N4,8/15/12,120,1347.08228,485.816456,3946,2"
46,"N4,8/15/12,120,1359.23418,478.221519,3952,2"
47,"N4,8/15/12,120,1374.42405,478.221519,3959,2"
48,"N4,8/15/12,120,1375.94304,447.841772,3972,2"
49,"N4,8/15/12,120,1360.75317,435.689873,3985,2"
50,"N4,8/15/12,120,1378.98101,429.613924,4007,2"
51,"N4,8/15/12,120,1430.62658,396.196203,4030,2"
52,"N4,8/15/12,120,1435.18354,393.158228,4049,2"
53,"N4,8/15/12,120,1427.58861,349.107595,4068,2"
54,"N4,8/15/12,120,1448.85443,347.588608,4069,2"
55,"N4,8/15/12,120,1391.13291,330.879747,4109,2"
56,"N4,8/15/12,120,1400.24684,341.512658,4116,2"
57,"N4,8/15/12,120,1397.20886,368.85443,4150,2"
58,"N4,8/15/12,120,1363.79114,388.601266,4195,2"
59,"N4,8/15/12,120,1350.12025,373.411392,4203,2"
60,"N4,8/15/12,120,1327.33544,368.85443,4221,2"
61,"N4,8/15/12,120,1310.62658,377.968354,4240,2"
62,"N4,8/15/12,120,1315.18354,391.639241,4244,2"
63,"N4,8/15/12,120,1325.81646,382.525316,4251,2"
64,"N4,8/15/12,132,1258.98101,589.107595,5607,2"
65,"N4,8/15/12,132,1249.86709,569.360759,5619,2"
66,"N4,8/15/12,132,1289.36076,579.993671,5630,2"
67,"N4,8/15/12,132,1260.5,558.727848,5635,2"
68,"N4,8/15/12,132,1262.01899,540.5,5643,2"
69,"N4,8/15/12,132,1258.98101,519.234177,5649,2"
70,"N4,8/15/12,132,1266.57595,493.411392,5670,2"
71,"N4,8/15/12,132,1175.43671,560.246835,5711,2"
72,"N4,8/15/12,132,1160.24684,669.613924,5736,2"
73,"N4,8/15/12,132,1236.1962,722.778481,5768,2"
74,"N4,8/15/12,132,1183.03165,791.132911,5784,2"
75,"N4,8/15/12,132,1290.87975,757.71519,5902,2"
76,"N4,8/15/12,132,1026.57595,748.601266,6092,2"
77,"N4,8/15/12,132,1037.20886,713.664557,6104,2"
78,"N4,8/15/12,132,1064.55063,642.272152,6123,2"
79,"N4,8/15/12,132,1043.28481,602.778481,6149,2"
80,"N4,8/15/12,132,1040.24684,592.14557,6164,2"
81,"N4,8/15/12,132,1072.14557,551.132911,6184,2"
82,"N4,8/15/12,132,1020.5,543.537975,6198,2"
83,"N4,8/15/12,132,1102.52532,513.158228,6245,2"
84,"N4,8/15/12,132,1143.53798,418.981013,6268,2"
85,"N4,8/15/12,132,1204.29747,449.360759,6285,2"
86,"N4,8/15/12,132,1246.82911,432.651899,6301,2"
87,"N4,8/15/12,132,1289.36076,423.537975,6313,2"
88,"N4,8/15/12,132,1275.68987,409.867089,6324,2"
89,"N4,8/15/12,132,1301.51266,408.348101,6350,2"
90,"N4,8/15/12,132,1315.18354,390.120253,6402,2"
91,"N4,8/15/12,132,1324.29747,405.310127,6405,2"
92,"N4,8/15/12,132,1315.18354,402.272152,6406,2"
93,"N4,8/15/12,140,1251.38608,567.841772,6833,2"
94,"N4,8/15/12,140,1258.98101,584.550633,6835,2"
95,"N4,8/15/12,140,1262.01899,569.360759,6845,2"
96,"N4,8/15/12,140,1266.57595,522.272152,6851,2"
97,"N4,8/15/12,140,1262.01899,496.449367,6867,2"
98,"N4,8/15/12,140,1248.3481,516.196203,6868,2"
99,"N4,8/15/12,140,1158.72785,490.373418,6898,2"
100,"N4,8/15/12,140,1110.12025,532.905063,6915,2"
101,"N4,8/15/12,140,1094.93038,525.310127,6916,2"
102,"N4,8/15/12,140,1041.76582,461.512658,6939,2"
103,"N4,8/15/12,140,1085.81646,412.905063,6984,2"
104,"N4,8/15/12,140,1063.03165,399.234177,6986,2"
105,"N4,8/15/12,140,1142.01899,330.879747,7054,2"
106,"N4,8/15/12,140,1134.42405,347.588608,7066,2"
107,"N4,8/15/12,140,1125.31013,355.183544,7089,2"
108,"N4,8/15/12,140,1152.6519,336.955696,7100,2"
109,"N4,8/15/12,140,1152.6519,283.791139,7125,2"
110,"N4,8/15/12,140,1170.87975,247.335443,7168,2"
111,"N4,8/15/12,140,1227.08228,302.018987,7201,2"
112,"N4,8/15/12,140,1266.57595,370.373418,7232,2"
113,"N4,8/15/12,140,1280.24684,356.702532,7241,2"
114,"N4,8/15/12,140,1281.76582,370.373418,7244,2"
115,"N4,8/15/12,140,1322.77848,390.120253,7305,2"
116,"N4,8/15/12,140,1310.62658,370.373418,7311,2"
117,"N4,8/15/12,140,1322.77848,385.563291,7323,2"
