colony,date,ant_id,x,y,file_name,ant_type
N2,8/13/12,1,373.307175,291.674888,2303,1
N2,8/13/12,1,437.020179,336.446188,2269,1
N2,8/13/12,1,454.23991,360.553812,2249,1
N2,8/13/12,1,443.908072,377.773543,2242,1
N2,8/13/12,1,478.347534,381.217489,2204,1
N2,8/13/12,1,464.571749,398.43722,2195,1
N2,8/13/12,1,481.79148,425.988789,2135,1
N2,8/13/12,1,480.069507,389.827354,2129,1
N2,8/13/12,1,500.733184,345.056054,2102,1
N2,8/13/12,1,552.392377,357.109865,2085,1
N2,8/13/12,1,598.88565,360.553812,2005,1
N2,8/13/12,1,11.692825,43.710762,1977,1
N2,8/13/12,2,352.894366,344.443662,4283,1
N2,8/13/12,2,332.612676,335.992958,4278,1
N2,8/13/12,2,325.852113,437.401408,4186,1
N2,8/13/12,2,314.021127,483.035211,4138,1
N2,8/13/12,2,302.190141,559.091549,4119,1
N2,8/13/12,2,415.429577,369.795775,3962,1
N2,8/13/12,2,510.077465,393.457746,3880,1
N2,8/13/12,2,525.288732,368.105634,3864,1
N2,8/13/12,2,623.316901,356.274648,3837,1
N2,8/13/12,2,626.697183,310.640845,3798,1
N2,8/13/12,2,594.584507,325.852113,3780,1
N2,8/13/12,2,575.992958,314.021127,3776,1
N2,8/13/12,3,822.753521,286.978873,2327,1
N2,8/13/12,3,765.288732,413.739437,2164,1
N2,8/13/12,3,817.683099,439.091549,2093,1
N2,8/13/12,3,814.302817,484.725352,2058,1
N2,8/13/12,3,844.725352,483.035211,2042,1
N2,8/13/12,3,907.260563,493.176056,2016,1
N2,8/13/12,3,910.640845,479.65493,1977,1
N2,8/13/12,3,922.471831,479.65493,1976,1
N2,8/13/12,3,895.429577,724.725352,1876,1
N2,8/13/12,3,587.823944,557.401408,1761,1
N2,8/13/12,3,543.880282,511.767606,1697,1
N2,8/13/12,3,525.288732,476.274648,1588,1
N2,8/13/12,3,596.274648,400.21831,1481,1
N2,8/13/12,3,577.683099,361.34507,1476,1
N2,8/13/12,3,560.78169,379.93662,1474,1
N2,8/13/12,3,603.035211,351.204225,1437,1
N2,8/13/12,3,570.922535,317.401408,1420,1
N2,8/13/12,3,574.302817,312.330986,1418,1
N2,8/13/12,4,374.814721,295.626904,5358,1
N2,8/13/12,4,528.317259,385.170051,5229,1
N2,8/13/12,4,606.895939,359.586294,5206,1
N2,8/13/12,4,574.002538,368.72335,5179,1
N2,8/13/12,4,597.758883,344.967005,5175,1
N2,8/13/12,4,586.794416,319.383249,5167,1
N2,8/13/12,4,542.936548,365.068528,5144,1
N2,8/13/12,4,517.352792,354.104061,5126,1
N2,8/13/12,4,504.560914,334.002538,5029,1
N2,8/13/12,4,510.043147,344.967005,4984,1
N2,8/13/12,4,517.352792,335.829949,4892,1
N2,8/13/12,4,539.281726,313.901015,4864,1
N2,8/13/12,5,321.819797,323.038071,7713,1
N2,8/13/12,5,351.058376,370.550761,7698,1
N2,8/13/12,5,287.098985,390.652284,7679,1
N2,8/13/12,5,318.164975,460.093909,7546,1
N2,8/13/12,5,524.662437,584.357868,7263,1
N2,8/13/12,5,493.596447,405.271574,7161,1
N2,8/13/12,5,475.322335,359.586294,7152,1
N2,8/13/12,5,471.667513,381.515228,7128,1
N2,8/13/12,5,502.733503,348.621827,7078,1
N2,8/13/12,5,564.865482,306.591371,7051,1
N2,8/13/12,6,361.091133,299.317734,1205,1
N2,8/13/12,6,440.894089,405.721675,1129,1
N2,8/13/12,6,478.135468,393.307882,1113,1
N2,8/13/12,6,474.58867,363.160099,1106,1
