"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant73","Ant76","Ant148","Ant158","Ant191","Ant202","Ant209","Ant268","Ant308","Ant311","Ant518","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant32","Ant42","Ant43","Ant44","Ant50","Ant55","Ant63","Ant97","Ant98","Ant100","Ant109","Ant113","Ant115","Ant117","Ant127","Ant137","Ant139","Ant142","Ant149","Ant153","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant186","Ant190","Ant207","Ant215","Ant217","Ant218","Ant219","Ant232","Ant238","Ant242","Ant243","Ant255","Ant257","Ant289","Ant294","Ant298","Ant324","Ant332","Ant342","Ant347","Ant356","Ant380","Ant387","Ant390","Ant394","Ant395","Ant400","Ant437","Ant458","Ant462","Ant475","Ant482","Ant492","Ant501","Ant507","Ant530","Ant538","Ant552","Ant560","Ant564","Ant593"
"Ant4",0,11,13,5,4,1,7,10,0,5,4,4,0,8,4,13,3,4,11,1,15,5,10,0,1,8,1,1,3,0,0,0,2,0,1,2,2,2,0,5,0,5,12,2,4,2,0,1,11,5,0,0,1,0,0,8,0,8,0,0,0,0,15,16,0,6,8,4,16,0,5,9,0,0,5,0,1,4,3,8,12,0,0,0,9,6,2,5,18,0,2,1,9,12,7,2
"Ant260",11,0,1,1,72,4,12,10,21,43,12,33,0,35,63,48,5,12,43,0,28,19,19,4,0,2,11,15,1,0,7,8,9,0,12,0,18,30,13,3,13,23,15,0,2,3,15,51,8,1,2,3,0,0,0,1,2,0,2,0,5,0,17,47,0,6,73,15,66,0,32,102,0,0,51,0,1,3,2,6,7,9,3,1,22,27,5,89,4,3,43,1,9,19,9,4
"Ant52",13,1,0,8,1,4,0,2,0,0,0,6,0,0,0,0,5,12,2,0,1,1,0,7,6,3,0,1,9,0,3,0,0,8,0,3,1,0,0,2,0,0,3,4,0,5,3,0,2,6,2,7,6,0,8,1,0,11,1,0,4,9,1,0,8,1,0,0,2,0,2,0,0,2,0,0,16,1,13,2,4,1,2,1,1,0,14,1,0,0,0,9,8,0,4,3
"Ant540",5,1,8,0,0,2,2,2,0,1,3,9,0,3,0,2,0,2,3,0,0,1,1,4,0,3,1,2,2,0,5,0,1,4,0,1,3,0,0,1,0,2,5,1,0,1,3,0,16,5,4,1,0,0,0,1,0,2,1,0,1,1,0,0,3,11,1,2,0,0,8,3,0,0,0,0,0,1,0,1,1,3,3,0,2,3,2,0,9,0,3,3,12,1,3,3
"Ant6",4,72,1,0,0,1,6,14,75,59,5,18,51,27,35,33,0,0,13,0,23,15,25,0,0,0,41,31,2,22,2,31,33,1,2,0,14,39,59,1,58,9,8,3,0,0,72,76,3,0,0,1,0,36,0,0,1,0,0,51,5,0,8,32,0,3,40,9,11,146,10,11,41,0,39,117,0,8,0,3,0,3,1,1,39,10,0,37,1,73,16,0,3,44,5,3
"Ant7",1,4,4,2,1,0,0,1,0,5,0,0,0,1,3,1,1,12,0,1,2,0,1,1,3,4,2,1,5,0,4,0,7,1,3,1,0,0,0,1,3,2,1,0,0,4,3,0,13,2,2,2,6,0,0,0,0,2,1,0,0,0,0,0,5,0,0,0,1,0,0,9,0,2,0,0,0,1,1,1,3,2,6,2,8,1,1,0,1,0,1,6,3,0,3,1
"Ant19",7,12,0,2,6,0,0,8,1,7,12,8,0,8,4,11,3,5,20,4,11,6,12,2,0,8,1,4,4,0,6,0,6,1,6,2,1,0,0,8,3,4,3,11,3,1,6,1,16,0,2,1,0,0,0,7,6,0,4,0,0,1,13,23,2,6,8,10,2,0,8,9,0,0,1,0,0,10,0,3,5,7,9,3,4,14,5,8,4,2,0,0,6,0,20,3
"Ant26",10,10,2,2,14,1,8,0,1,6,7,2,0,2,3,9,3,4,24,3,1,16,9,4,1,9,6,8,2,0,5,0,15,2,9,1,21,0,0,7,0,9,12,5,1,0,0,4,2,0,0,0,0,0,0,7,3,5,0,0,0,0,1,2,0,8,1,8,6,0,14,19,0,0,5,0,1,9,0,4,2,16,4,1,6,19,3,19,10,0,6,2,10,1,18,3
"Ant30",0,21,0,0,75,0,1,1,0,40,3,31,29,20,23,14,0,0,14,0,24,9,30,0,0,0,29,22,0,16,2,31,28,0,4,0,18,32,43,0,47,8,13,0,0,0,52,37,2,0,0,0,0,32,0,6,8,0,0,22,1,0,9,16,0,0,23,14,25,28,18,11,31,0,64,75,0,4,0,1,1,1,2,0,21,7,4,57,2,48,21,0,0,16,1,0
"Ant38",5,43,0,1,59,5,7,6,40,0,12,18,6,21,26,15,0,3,17,1,15,20,7,14,0,2,17,10,1,16,0,18,8,0,11,0,9,6,13,1,9,13,14,2,0,0,32,89,7,1,1,0,3,9,0,0,2,2,0,3,3,0,34,17,0,3,24,15,20,14,16,20,5,1,35,17,0,7,0,0,1,3,0,1,26,3,3,9,7,19,3,0,5,19,2,1
"Ant60",4,12,0,3,5,0,12,7,3,12,0,4,0,16,11,13,0,5,36,13,14,10,4,0,1,0,11,7,0,0,2,0,3,2,8,3,9,0,3,2,1,5,2,3,1,0,8,0,2,0,0,0,0,0,0,30,2,2,1,0,0,0,22,10,0,5,18,32,20,0,6,10,0,0,6,0,0,6,0,1,5,6,4,1,4,12,2,20,11,0,1,3,8,2,6,0
