"","Ant4","Ant260","Ant52","Ant540","Ant7","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant73","Ant76","Ant148","Ant158","Ant191","Ant202","Ant209","Ant268","Ant308","Ant518","Ant0","Ant23","Ant27","Ant29","Ant32","Ant42","Ant43","Ant44","Ant55","Ant63","Ant97","Ant98","Ant100","Ant109","Ant115","Ant117","Ant127","Ant137","Ant139","Ant153","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant190","Ant207","Ant215","Ant218","Ant219","Ant238","Ant242","Ant243","Ant255","Ant257","Ant289","Ant294","Ant298","Ant324","Ant347","Ant356","Ant380","Ant387","Ant390","Ant394","Ant400","Ant482","Ant492","Ant501","Ant507","Ant538","Ant552","Ant560","Ant564","Ant593"
"Ant4",0,3,4,5,8,4,2,0,1,0,1,0,0,0,3,2,9,0,0,0,3,1,4,6,3,0,10,0,10,2,10,9,6,3,3,0,12,3,8,1,11,3,4,13,1,0,8,5,2,2,3,0,0,6,4,0,0,0,0,6,0,3,2,0,13,2,3,6,4,5,8,0,1,15,9,10,10
"Ant260",3,0,2,1,6,21,6,0,28,39,40,1,2,0,21,3,6,61,0,62,7,3,25,7,3,23,4,4,16,16,1,7,24,15,11,75,13,0,9,3,1,9,1,12,3,1,4,3,0,6,0,1,0,3,5,0,50,6,2,17,14,22,74,3,0,2,5,21,3,18,2,10,5,7,24,17,3
"Ant52",4,2,0,18,4,1,2,0,4,2,12,0,0,0,1,27,3,0,11,0,3,4,1,3,12,0,3,0,3,1,10,2,1,0,7,1,7,7,15,11,7,20,12,8,18,0,8,20,3,1,6,3,0,3,0,0,1,3,0,0,0,1,12,13,3,8,2,3,7,0,6,0,2,25,3,11,8
"Ant540",5,1,18,0,4,1,3,0,1,0,2,0,0,0,1,9,11,0,12,0,1,3,2,6,12,0,10,0,4,1,4,8,3,0,2,0,12,27,20,5,2,85,6,6,0,0,8,8,5,0,5,9,0,9,0,0,0,2,0,1,0,0,5,3,2,4,0,0,7,0,2,1,1,90,5,2,6
"Ant7",8,6,4,4,0,2,10,0,2,7,6,0,3,0,4,3,6,3,2,0,0,3,3,4,2,0,8,0,0,5,9,14,7,2,7,0,10,6,3,4,4,1,1,3,0,0,7,0,5,2,1,1,0,5,0,0,1,0,0,3,2,2,1,0,3,3,1,0,3,3,6,0,0,19,13,8,8
"Ant19",4,21,1,1,2,0,7,0,6,6,4,0,1,0,11,3,1,0,0,2,7,3,14,3,7,0,15,0,1,6,1,6,5,2,7,3,10,0,6,0,6,1,2,11,1,1,3,1,3,5,1,0,0,1,6,0,14,9,0,0,0,5,8,2,2,0,2,5,3,1,4,5,1,9,11,10,4
"Ant26",2,6,2,3,10,7,0,0,10,20,3,0,9,0,3,2,21,2,0,12,12,0,15,7,6,2,9,3,8,1,8,9,6,0,3,10,8,1,3,3,4,2,0,6,4,11,0,0,2,1,0,0,0,9,3,0,19,20,0,6,7,4,15,0,6,0,5,0,2,8,7,7,2,6,8,4,13
"Ant30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,72,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0
"Ant38",1,28,4,1,2,6,10,0,0,7,26,2,14,6,18,0,9,72,2,49,21,0,31,36,4,8,7,21,7,7,5,11,26,11,10,26,15,5,1,1,4,2,0,4,0,4,2,0,4,0,7,0,0,2,7,0,24,0,12,26,29,4,47,0,4,1,3,10,3,10,5,21,2,3,15,22,3
"Ant60",0,39,2,0,7,6,20,0,7,0,14,0,36,0,23,2,0,12,1,14,9,1,8,14,2,3,2,0,10,15,0,10,3,1,13,7,6,0,3,1,0,5,0,16,3,2,0,1,0,7,0,0,0,19,10,0,13,7,0,6,7,12,17,1,1,1,4,18,0,14,11,31,4,0,5,4,1
