"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant73","Ant76","Ant148","Ant158","Ant191","Ant196","Ant202","Ant209","Ant252","Ant268","Ant308","Ant311","Ant518","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant32","Ant42","Ant43","Ant44","Ant50","Ant55","Ant63","Ant91","Ant97","Ant98","Ant100","Ant109","Ant113","Ant115","Ant117","Ant124","Ant127","Ant131","Ant137","Ant139","Ant140","Ant142","Ant149","Ant153","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant186","Ant190","Ant195","Ant198","Ant207","Ant215","Ant217","Ant218","Ant219","Ant232","Ant238","Ant242","Ant243","Ant255","Ant257","Ant263","Ant289","Ant294","Ant298","Ant318","Ant324","Ant332","Ant342","Ant347","Ant353","Ant356","Ant380","Ant387","Ant390","Ant394","Ant395","Ant400","Ant437","Ant458","Ant462","Ant475","Ant482","Ant492","Ant501","Ant507","Ant527","Ant530","Ant538","Ant552","Ant560","Ant564","Ant593"
"Ant4",0,1,0,6,4,5,0,1,0,1,1,8,1,6,0,0,0,2,6,4,1,0,0,2,1,3,2,5,2,6,1,6,3,0,11,1,7,6,6,11,0,5,4,2,2,5,8,3,9,5,11,5,0,0,1,0,19,1,1,5,3,0,4,0,2,0,0,18,0,0,3,0,0,0,1,9,2,1,0,0,0,9,0,1,0,3,6,0,0,4,11,1,2,0,1,2,0,0,4,3,0,11,4,0,0,1,5,3,3,1
"Ant260",1,0,1,0,98,0,0,32,1,6,33,70,3,6,0,4,4,3,1,10,13,15,20,3,9,28,6,1,2,4,13,8,3,54,2,64,17,1,0,0,22,4,62,30,5,63,2,4,12,1,22,3,2,0,60,22,0,0,0,1,0,4,1,0,1,0,9,0,1,27,0,0,2,32,0,0,41,15,4,3,13,6,5,2,5,2,8,9,35,0,5,3,1,0,1,1,0,64,3,3,34,0,50,21,61,1,3,56,2,0
"Ant52",0,1,0,3,0,11,0,0,1,0,0,0,0,0,0,0,0,3,23,0,1,0,0,20,0,2,0,4,0,4,5,1,0,0,3,0,1,10,0,0,0,0,1,0,0,0,0,1,0,2,0,3,1,9,0,0,1,6,2,3,9,0,1,21,3,0,0,5,1,0,10,5,0,0,12,5,0,1,0,0,0,1,0,0,0,7,0,2,0,14,0,3,7,12,2,5,0,1,0,4,0,0,1,1,1,17,11,1,7,2
"Ant540",6,0,3,0,0,5,0,1,1,7,4,3,5,5,0,0,0,1,7,0,0,0,3,2,3,4,2,5,1,13,0,7,0,4,3,0,1,6,7,6,0,0,2,1,0,1,3,6,4,2,0,4,2,2,1,0,13,1,6,3,4,0,4,4,2,0,2,12,0,0,4,0,0,2,1,6,0,6,0,1,0,11,0,3,0,1,3,4,0,0,4,0,1,0,0,11,2,0,0,1,0,9,0,0,0,9,2,1,13,2
"Ant6",4,98,0,0,0,1,13,7,3,8,19,44,1,21,13,10,20,0,0,23,4,3,58,0,4,12,21,0,0,0,17,0,0,17,0,10,13,0,2,0,18,6,9,46,0,18,0,5,1,0,17,0,0,2,43,30,0,0,0,0,0,15,0,0,1,5,5,1,0,15,0,0,7,1,0,0,24,7,6,8,29,1,88,10,8,4,10,2,28,0,1,0,0,1,0,0,1,15,14,3,26,0,14,15,14,0,0,52,2,0
"Ant7",5,0,11,5,1,0,0,0,1,1,0,1,1,10,0,1,0,2,19,0,3,0,2,7,0,1,0,6,1,3,0,2,11,1,11,0,3,5,7,1,0,0,0,1,3,0,1,1,0,3,0,9,1,0,0,0,4,4,8,5,1,0,7,11,8,0,0,8,0,0,2,0,0,0,3,2,0,2,0,0,0,2,0,0,0,0,0,0,0,2,6,1,3,5,7,15,0,0,4,6,0,6,0,0,0,1,10,5,3,5
"Ant9",0,0,0,0,13,0,0,0,0,0,1,0,0,0,36,8,54,0,0,21,0,0,55,0,0,0,3,0,0,0,2,0,0,8,0,4,0,0,0,0,16,0,0,63,0,0,0,0,0,0,1,0,0,0,34,19,0,0,0,0,0,6,0,0,0,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,0,44,1,44,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Ant14",1,32,0,1,7,0,0,0,5,14,22,32,1,7,0,11,0,4,3,2,13,4,13,0,5,9,5,0,0,0,18,1,3,4,0,8,19,3,1,0,5,7,5,17,2,26,1,1,15,0,10,0,0,0,36,12,0,0,0,0,0,1,0,0,1,0,13,0,0,9,0,0,14,13,0,1,25,13,5,4,2,0,20,13,2,5,4,6,19,0,0,0,0,0,1,0,3,8,8,0,10,1,25,11,14,0,0,26,1,0
"Ant19",0,1,1,1,3,1,0,5,0,3,6,3,1,2,0,12,0,9,2,5,16,4,10,0,2,6,1,11,1,7,4,12,4,8,1,3,4,6,6,0,1,0,8,4,5,5,16,17,7,4,0,0,0,0,19,8,3,0,0,0,0,5,2,11,4,0,4,0,1,2,1,0,15,2,4,1,4,9,4,10,0,7,0,7,0,18,9,9,1,1,3,2,3,2,6,2,7,2,2,3,7,16,4,0,13,0,2,5,8,0
"Ant26",1,6,0,7,8,1,0,14,3,0,13,8,0,3,0,3,3,0,2,7,2,1,5,1,5,7,7,0,0,0,6,4,0,6,2,19,7,5,0,0,1,0,12,11,0,8,4,6,1,0,11,0,3,7,12,34,3,0,3,0,1,11,1,1,0,0,5,1,0,35,3,0,23,16,0,2,26,14,7,6,0,5,0,12,0,0,13,13,6,1,5,0,0,0,0,2,5,9,18,0,5,1,37,10,21,1,1,3,16,0
"Ant30",1,33,0,4,19,0,1,22,6,13,0,12,4,15,2,23,10,6,1,12,6,5,23,0,6,3,17,0,2,1,13,0,4,15,0,12,6,0,2,0,4,24,10,21,1,14,0,0,13,0,11,0,0,6,26,21,0,0,0,0,0,7,0,17,1,1,15,0,0,6,0,0,11,13,0,0,30,5,4,1,3,5,2,34,2,2,9,16,7,0,0,0,0,0,5,0,9,10,5,0,33,1,27,20,10,0,0,4,3,0
"Ant38",8,70,0,3,44,1,0,32,3,8,12,0,1,16,0,8,7,1,2,8,24,12,5,1,8,16,2,2,0,3,14,0,3,43,0,24,21,0,3,0,12,3,10,19,2,30,2,2,6,2,21,6,0,1,32,40,4,0,0,0,0,8,1,2,1,0,10,3,2,16,0,0,2,24,0,0,14,8,11,16,6,2,8,13,6,3,7,7,16,2,4,0,0,1,3,3,9,18,12,3,14,0,5,21,14,0,0,22,5,0
"Ant60",1,3,0,5,1,1,0,1,1,0,4,1,0,1,0,2,0,14,2,3,0,0,0,3,1,17,1,3,0,0,2,11,5,0,1,0,8,3,3,9,1,9,1,2,7,1,2,4,2,1,7,5,1,2,1,0,0,3,1,1,0,0,3,8,8,0,1,3,2,0,0,1,0,0,2,4,9,2,0,1,0,5,0,0,0,0,1,5,1,2,4,6,0,4,13,3,0,0,0,4,0,2,2,4,1,0,1,1,6,4
"Ant64",6,6,0,5,21,10,0,7,2,3,15,16,1,0,0,3,2,11,2,4,8,2,6,0,0,12,12,16,2,0,19,9,0,7,0,11,11,4,1,0,2,19,3,16,5,11,7,10,2,2,1,3,0,9,1,1,0,1,2,1,0,0,3,7,6,0,3,3,9,7,0,0,0,8,1,1,22,3,3,3,0,1,2,2,0,6,8,4,2,5,13,3,3,2,3,0,2,11,16,2,10,1,13,0,2,2,7,1,6,2
"Ant73",0,0,0,0,13,0,36,0,0,0,2,0,0,0,0,3,29,0,0,10,0,0,67,0,0,0,0,0,0,0,1,0,0,4,0,2,2,0,0,0,7,0,3,29,0,0,0,0,1,0,0,0,0,0,16,24,0,0,0,0,0,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,48,0,7,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
"Ant76",0,4,0,0,10,1,8,11,12,3,23,8,2,3,3,0,5,6,0,1,2,21,21,0,12,1,6,0,0,0,4,0,4,9,0,12,5,0,0,0,9,0,5,22,3,7,1,0,15,0,6,0,1,1,13,14,0,0,0,0,0,9,0,11,1,3,1,0,0,11,0,0,16,8,0,0,8,10,15,5,4,6,9,11,3,11,12,12,0,4,1,0,0,0,4,0,11,13,7,0,8,0,20,2,8,0,0,0,0,0
"Ant148",0,4,0,0,20,0,54,0,0,3,10,7,0,2,29,5,0,0,0,9,0,0,60,0,1,0,3,0,0,0,1,0,0,12,0,6,2,0,0,0,14,0,2,40,2,0,0,0,3,0,4,0,0,1,14,24,0,0,0,0,0,1,0,2,0,24,7,0,0,0,0,0,0,7,0,0,8,0,1,0,10,0,47,5,10,4,3,9,2,0,0,0,0,0,1,0,1,4,1,0,4,0,3,9,6,0,0,2,0,0
"Ant158",2,3,3,1,0,2,0,4,9,0,6,1,14,11,0,6,0,0,4,1,16,15,6,1,2,5,4,3,0,3,3,7,3,3,0,1,6,3,1,0,2,2,4,16,4,0,2,3,7,6,2,1,3,16,4,0,3,2,0,1,1,1,1,3,5,0,6,1,6,7,1,0,6,2,1,4,2,4,2,1,0,4,0,2,0,13,7,2,1,0,14,2,0,0,8,1,7,4,3,3,1,7,28,6,1,0,3,1,4,4
