"","Ant260","Ant52","Ant540","Ant6","Ant7","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant148","Ant158","Ant202","Ant209","Ant268","Ant311","Ant518","Ant0","Ant32","Ant43","Ant44","Ant50","Ant55","Ant63","Ant97","Ant98","Ant137","Ant140","Ant169","Ant176","Ant178","Ant195","Ant215","Ant217","Ant219","Ant232","Ant243","Ant257","Ant289","Ant294","Ant298","Ant324","Ant332","Ant342","Ant356","Ant395","Ant400","Ant437","Ant492","Ant507","Ant552","Ant560","Ant564","Ant593"
"Ant260",0,0,16,2,14,10,8,3,2,0,0,4,7,7,0,4,7,12,8,1,2,0,7,1,2,7,3,1,1,0,4,6,3,31,4,6,4,3,0,19,5,1,9,5,18,1,5,4,7,4,4,1,5,10,7
"Ant52",0,0,0,1,0,0,1,1,0,2,3,4,0,0,9,0,0,0,12,8,0,0,0,0,2,1,4,1,2,1,0,0,0,1,0,1,0,0,3,0,0,13,1,3,1,7,0,0,0,3,0,0,5,0,13
"Ant540",16,0,0,0,0,18,0,0,0,0,0,0,43,25,0,6,6,11,0,0,24,0,0,11,0,0,0,0,0,0,19,4,0,36,12,0,0,21,0,14,10,0,0,0,0,0,0,0,0,0,13,0,0,15,0
"Ant6",2,1,0,0,3,0,7,4,2,6,0,10,1,0,5,0,5,11,5,10,6,12,3,2,4,10,23,5,0,3,0,2,13,3,0,1,8,0,3,6,0,11,0,13,1,2,1,1,20,5,10,11,2,1,5
"Ant7",14,0,0,3,0,1,4,3,12,2,2,0,0,0,1,1,19,19,8,0,5,3,0,3,1,1,4,1,2,3,21,7,6,4,0,2,16,0,1,24,4,4,3,6,21,1,2,1,1,0,2,1,4,0,3
"Ant14",10,0,18,0,1,0,0,0,0,2,0,0,16,11,0,26,10,12,0,0,23,0,1,16,0,0,0,0,1,0,11,5,1,70,15,1,6,15,0,7,12,0,0,0,0,0,0,0,0,0,19,0,1,10,2
"Ant19",8,1,0,7,4,0,0,10,5,8,9,6,0,0,8,0,11,15,9,7,4,7,3,4,7,7,2,20,9,10,0,2,9,2,0,5,10,0,7,7,1,12,23,8,11,2,3,4,4,4,3,10,7,0,12
"Ant26",3,1,0,4,3,0,10,0,2,0,9,0,0,0,0,0,4,4,10,3,0,4,12,1,0,0,4,8,2,10,0,0,1,2,0,1,21,0,2,1,0,4,2,7,1,2,0,5,5,1,0,19,3,1,15
"Ant30",2,0,0,2,12,0,5,2,0,4,16,11,0,0,1,4,7,3,43,7,2,5,12,2,26,4,1,2,5,3,0,2,6,1,0,8,6,0,15,5,0,10,7,6,14,0,9,6,10,7,0,11,4,6,6
"Ant38",0,2,0,6,2,2,8,0,4,0,10,9,0,0,3,2,0,0,5,0,0,3,0,4,8,10,5,0,0,19,0,3,6,0,0,2,6,0,1,0,0,4,1,0,1,4,0,5,0,6,0,1,4,5,6
"Ant60",0,3,0,0,2,0,9,9,16,10,0,4,0,0,3,1,1,1,6,9,0,10,1,0,5,2,2,0,5,1,0,1,0,0,0,3,0,0,8,3,0,5,3,13,7,18,0,10,2,2,0,5,4,0,3
"Ant148",4,4,0,10,0,0,6,0,11,9,4,0,0,0,0,0,1,0,4,0,1,59,6,1,7,0,6,5,4,8,0,0,2,0,0,5,1,0,3,0,1,5,1,6,4,7,1,1,1,1,1,1,2,1,0
"Ant158",7,0,43,1,0,16,0,0,0,0,0,0,0,2,0,13,16,3,0,0,2,0,2,7,0,0,0,0,0,0,13,3,0,184,10,0,1,6,1,2,11,0,0,0,1,0,0,0,0,0,17,0,0,27,1
"Ant202",7,0,25,0,0,11,0,0,0,0,0,0,2,0,0,65,0,3,0,0,7,0,0,13,0,0,0,0,0,0,1,0,0,64,18,0,0,6,0,26,18,0,0,0,0,0,0,0,0,0,34,0,0,4,0
"Ant209",0,9,0,5,1,0,8,0,1,3,3,0,0,0,0,0,0,0,5,13,0,14,12,0,4,3,35,3,4,3,0,0,0,0,0,4,4,0,0,1,0,3,1,1,1,0,2,10,1,22,0,1,0,0,2
