"","Ant52","Ant6","Ant7","Ant19","Ant30","Ant60","Ant148","Ant202","Ant209","Ant268","Ant518","Ant32","Ant44","Ant50","Ant55","Ant63","Ant98","Ant137","Ant140","Ant169","Ant176","Ant178","Ant195","Ant215","Ant217","Ant219","Ant232","Ant243","Ant257","Ant289","Ant294","Ant298","Ant324","Ant332","Ant342","Ant356","Ant395","Ant400","Ant437","Ant492","Ant552","Ant560","Ant564","Ant593"
"Ant52",0,1,1,3,0,1,1,0,4,0,0,0,4,1,0,1,6,2,0,10,0,0,0,0,0,2,0,0,1,1,0,24,0,1,0,0,0,29,0,5,0,0,0,1
"Ant6",1,0,1,10,4,0,0,0,0,4,10,0,2,1,0,1,1,8,0,0,0,0,3,1,0,0,2,0,3,3,0,11,0,1,10,3,7,0,2,1,0,0,5,0
"Ant7",1,1,0,1,0,0,1,1,0,26,33,0,0,0,7,5,0,0,7,1,0,0,1,9,0,0,8,0,2,24,0,1,2,0,2,0,9,0,13,0,0,2,15,5
"Ant19",3,10,1,0,4,2,3,0,8,5,12,3,12,1,0,2,9,4,13,6,0,0,8,1,1,4,0,0,7,0,0,12,2,2,4,7,1,1,1,0,3,3,0,1
"Ant30",0,4,0,4,0,1,3,0,0,0,6,2,5,1,4,1,1,1,3,2,1,0,2,5,4,2,2,0,5,4,0,0,3,8,10,0,7,2,6,1,0,0,18,1
"Ant60",1,0,0,2,1,0,0,0,2,0,0,5,7,0,0,3,10,10,0,1,0,0,0,1,1,8,1,0,0,0,0,1,1,4,0,15,0,1,0,0,4,5,0,1
"Ant148",1,0,1,3,3,0,0,0,0,2,3,0,2,1,0,0,2,0,1,0,0,0,0,0,0,1,4,0,0,5,0,0,2,0,3,3,0,12,1,2,0,2,1,1
"Ant202",0,0,1,0,0,0,0,0,0,15,0,0,0,0,11,0,0,0,0,0,12,0,0,91,2,0,0,5,0,43,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant209",4,0,0,8,0,2,0,0,0,1,0,0,0,0,1,0,21,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,2,0,2,0,2,0,0,2,1
"Ant268",0,4,26,5,0,0,2,15,1,0,9,1,6,3,25,0,0,0,12,4,13,0,9,7,5,0,3,1,1,21,2,0,1,7,8,1,5,5,14,1,2,0,24,0
"Ant518",0,10,33,12,6,0,3,0,0,9,0,0,2,0,7,3,1,3,41,0,0,0,6,8,12,3,5,0,12,10,0,2,0,10,6,0,13,0,26,1,1,2,34,3
"Ant32",0,0,0,3,2,5,0,0,0,1,0,0,0,2,0,10,2,1,4,0,0,0,0,3,0,0,9,0,0,7,0,0,7,10,5,0,2,0,4,5,0,5,3,1
"Ant44",4,2,0,12,5,7,2,0,0,6,2,0,0,14,0,0,4,13,0,7,0,0,8,3,0,0,3,0,0,0,0,45,5,1,12,2,1,2,1,3,26,2,2,0
"Ant50",1,1,0,1,1,0,1,0,0,3,0,2,14,0,0,0,15,3,1,8,0,0,2,6,0,1,5,0,0,0,0,1,4,4,2,1,0,3,1,1,11,3,0,31
"Ant55",0,0,7,0,4,0,0,11,1,25,7,0,0,0,0,0,0,1,6,0,23,0,1,26,1,0,1,2,1,16,0,0,0,1,2,0,3,1,31,3,0,1,9,1
"Ant63",1,1,5,2,1,3,0,0,0,0,3,10,0,0,0,0,0,1,0,2,0,0,4,3,0,0,14,0,6,1,0,0,11,4,4,0,0,1,4,2,0,3,1,2
"Ant98",6,1,0,9,1,10,2,0,21,0,1,2,4,15,0,0,0,16,0,0,0,0,0,1,0,4,0,0,1,0,0,3,3,7,2,1,0,10,0,1,0,0,1,6
"Ant137",2,8,0,4,1,10,0,0,0,0,3,1,13,3,1,1,16,0,0,2,0,0,0,3,0,0,0,0,5,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
"Ant140",0,0,7,13,3,0,1,0,0,12,41,4,0,1,6,0,0,0,0,0,0,0,4,6,0,1,0,0,0,26,0,0,0,0,4,0,13,0,2,12,1,1,14,0
"Ant169",10,0,1,6,2,1,0,0,8,4,0,0,7,8,0,2,0,2,0,0,0,0,3,1,0,1,7,0,0,0,0,9,4,0,0,3,0,0,2,3,2,0,0,16
"Ant176",0,0,0,0,1,0,0,12,0,13,0,0,0,0,23,0,0,0,0,0,0,0,0,26,1,0,0,2,0,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant178",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant195",0,3,1,8,2,0,0,0,0,9,6,0,8,2,1,4,0,0,4,3,0,0,0,6,2,0,12,0,1,6,0,1,5,5,8,15,6,0,2,2,2,5,19,4
"Ant215",0,1,9,1,5,1,0,91,0,7,8,3,3,6,26,3,1,3,6,1,26,0,6,0,11,1,2,16,2,26,2,7,1,5,3,0,4,2,3,3,1,1,6,0
"Ant217",0,0,0,1,4,1,0,2,0,5,12,0,0,0,1,0,0,0,0,0,1,0,2,11,0,0,2,23,0,0,5,0,0,0,13,0,0,0,0,0,0,0,0,0
"Ant219",2,0,0,4,2,8,1,0,0,0,3,0,0,1,0,0,4,0,1,1,0,0,0,1,0,0,2,0,0,0,0,4,2,0,0,2,0,1,0,12,2,1,0,0
"Ant232",0,2,8,0,2,1,4,0,0,3,5,9,3,5,1,14,0,0,0,7,0,0,12,2,2,2,0,0,0,3,0,1,23,7,5,0,1,0,2,5,0,2,14,0
