"","Ant52","Ant6","Ant19","Ant60","Ant148","Ant202","Ant209","Ant268","Ant50","Ant63","Ant98","Ant137","Ant140","Ant169","Ant176","Ant178","Ant195","Ant232","Ant289","Ant298","Ant324","Ant332","Ant356","Ant400","Ant437","Ant492","Ant552","Ant560","Ant564","Ant593"
"Ant52",0,1,2,44,6,0,1,0,3,1,8,0,11,1,0,0,11,3,0,33,0,1,0,0,0,1,1,3,0,3
"Ant6",1,0,27,1,6,0,4,0,1,5,0,2,0,3,0,0,31,1,3,0,0,13,7,16,20,2,0,3,15,6
"Ant19",2,27,0,4,3,0,13,0,15,10,16,2,6,5,0,0,12,11,0,3,1,7,6,3,2,0,8,7,4,8
"Ant60",44,1,4,0,3,0,14,0,4,1,14,3,0,13,0,0,2,0,0,6,0,10,21,15,0,10,9,2,0,9
"Ant148",6,6,3,3,0,0,6,0,4,0,1,0,15,4,0,0,13,3,0,16,13,3,1,4,5,1,2,7,1,6
"Ant202",0,0,0,0,0,0,0,47,0,0,0,0,0,0,21,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"Ant209",1,4,13,14,6,0,0,0,23,2,11,0,6,5,0,0,4,4,0,9,0,1,10,1,1,11,0,1,0,9
"Ant268",0,0,0,0,0,47,0,0,0,0,0,0,3,0,4,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0
"Ant50",3,1,15,4,4,0,23,0,0,2,6,6,0,2,0,0,8,0,0,2,0,0,0,10,3,7,3,0,0,9
"Ant63",1,5,10,1,0,0,2,0,2,0,1,0,1,1,0,0,3,3,1,0,0,1,0,0,17,0,1,0,7,3
"Ant98",8,0,16,14,1,0,11,0,6,1,0,3,11,10,0,0,5,7,4,6,3,3,0,0,0,6,0,15,1,3
"Ant137",0,2,2,3,0,0,0,0,6,0,3,0,4,31,0,0,7,3,0,24,3,13,5,2,0,0,9,7,2,0
"Ant140",11,0,6,0,15,0,6,3,0,1,11,4,0,1,0,0,28,2,9,15,3,0,0,0,0,2,0,0,13,1
"Ant169",1,3,5,13,4,0,5,0,2,1,10,31,1,0,0,0,13,2,3,9,8,6,0,2,2,8,1,9,0,6
"Ant176",0,0,0,0,0,21,0,4,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
"Ant178",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant195",11,31,12,2,13,0,4,0,8,3,5,7,28,13,0,0,0,15,2,3,8,9,5,10,18,2,14,13,15,8
"Ant232",3,1,11,0,3,0,4,0,0,3,7,3,2,2,0,0,15,0,21,0,6,8,0,3,9,0,7,9,25,1
"Ant289",0,3,0,0,0,5,0,5,0,1,4,0,9,3,8,0,2,21,0,0,6,1,0,0,6,0,0,1,3,0
"Ant298",33,0,3,6,16,0,9,0,2,0,6,24,15,9,0,0,3,0,0,0,4,2,4,6,0,13,3,0,1,0
"Ant324",0,0,1,0,13,0,0,0,0,0,3,3,3,8,0,0,8,6,6,4,0,5,2,1,1,0,2,24,9,3
"Ant332",1,13,7,10,3,0,1,0,0,1,3,13,0,6,0,0,9,8,1,2,5,0,7,2,3,6,4,7,3,6
"Ant356",0,7,6,21,1,0,10,0,0,0,0,5,0,0,0,0,5,0,0,4,2,7,0,0,2,4,10,6,1,10
"Ant400",0,16,3,15,4,0,1,0,10,0,0,2,0,2,0,0,10,3,0,6,1,2,0,0,1,2,6,2,0,10
"Ant437",0,20,2,0,5,0,1,1,3,17,0,0,0,2,0,0,18,9,6,0,1,3,2,1,0,1,4,11,11,3
"Ant492",1,2,0,10,1,0,11,0,7,0,6,0,2,8,0,0,2,0,0,13,0,6,4,2,1,0,5,0,0,3
"Ant552",1,0,8,9,2,0,0,0,3,1,0,9,0,1,0,0,14,7,0,3,2,4,10,6,4,5,0,0,0,3
"Ant560",3,3,7,2,7,0,1,0,0,0,15,7,0,9,0,0,13,9,1,0,24,7,6,2,11,0,0,0,1,1
"Ant564",0,15,4,0,1,0,0,0,0,7,1,2,13,0,0,0,15,25,3,1,9,3,1,0,11,0,0,1,0,0
"Ant593",3,6,8,9,6,0,9,0,9,3,3,0,1,6,0,0,8,1,0,0,3,6,10,10,3,3,3,1,0,0
