"","Ant260","Ant52","Ant540","Ant6","Ant7","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant76","Ant148","Ant158","Ant191","Ant202","Ant209","Ant252","Ant268","Ant311","Ant518","Ant0","Ant32","Ant43","Ant44","Ant50","Ant55","Ant63","Ant91","Ant97","Ant98","Ant100","Ant109","Ant137","Ant140","Ant142","Ant169","Ant176","Ant178","Ant195","Ant207","Ant215","Ant217","Ant219","Ant232","Ant243","Ant257","Ant289","Ant294","Ant298","Ant318","Ant324","Ant332","Ant342","Ant356","Ant394","Ant395","Ant400","Ant437","Ant458","Ant492","Ant507","Ant527","Ant552","Ant560","Ant564","Ant593"
"Ant260",0,6,33,20,3,1,12,6,12,12,7,13,4,3,10,0,28,12,1,14,2,47,14,1,13,4,16,10,6,28,1,6,4,14,5,8,3,0,0,9,8,2,0,6,7,3,5,2,0,27,15,10,2,6,8,7,21,24,6,6,22,4,5,21,16,3,26
"Ant52",6,0,14,4,0,0,4,15,1,4,10,2,1,0,5,0,4,5,0,2,0,3,9,0,1,31,2,4,2,2,4,0,1,0,0,4,4,0,0,0,4,0,0,4,0,1,0,3,0,9,2,1,15,11,4,2,2,1,2,1,2,0,0,0,5,0,0
"Ant540",33,14,0,28,62,35,24,9,26,67,34,28,29,46,33,16,34,34,14,23,27,58,17,35,35,22,32,21,28,31,18,29,18,16,38,11,39,27,22,53,29,7,1,29,43,21,23,51,0,18,25,14,24,30,27,49,18,29,26,30,28,30,24,31,27,43,62
"Ant6",20,4,28,0,4,3,4,2,7,9,5,2,0,10,14,0,2,8,8,16,6,5,17,2,5,2,8,13,12,1,1,6,13,6,2,1,3,3,0,12,7,0,0,9,2,14,1,7,0,12,5,3,14,5,2,5,2,0,10,8,0,10,11,5,3,0,0
"Ant7",3,0,62,4,0,5,0,0,2,2,1,0,1,14,9,3,0,2,2,6,4,4,0,6,4,0,9,1,3,0,0,21,1,1,4,0,2,1,3,14,13,2,9,1,1,7,0,21,0,3,2,1,0,1,2,1,0,0,6,10,0,7,4,0,4,7,14
"Ant14",1,0,35,3,5,0,12,1,2,6,7,1,5,14,3,23,7,1,31,12,3,4,1,19,8,1,16,0,16,1,2,12,20,6,23,2,5,19,22,14,2,31,9,2,22,27,0,7,0,2,6,0,0,1,0,27,3,9,11,11,7,9,17,0,0,38,2
"Ant19",12,4,24,4,0,12,0,2,3,0,5,10,4,0,7,0,9,6,1,8,5,9,0,7,2,6,10,0,24,0,0,3,2,0,2,12,0,15,3,2,9,0,0,0,13,0,2,9,0,5,0,9,3,5,2,11,0,2,4,4,1,16,5,2,1,9,0
"Ant26",6,15,9,2,0,1,2,0,5,7,4,7,0,0,5,0,4,8,1,5,0,1,10,1,9,12,4,2,3,0,1,2,0,1,2,5,0,4,0,4,5,0,1,5,1,0,0,2,0,14,0,1,4,6,4,4,0,3,2,6,1,0,2,1,0,3,4
"Ant30",12,1,26,7,2,2,3,5,0,8,2,1,8,3,10,3,9,25,7,3,3,19,2,3,42,8,11,7,2,11,4,5,4,0,3,3,22,1,1,6,24,0,1,3,5,8,9,1,0,3,4,4,5,12,10,10,8,4,6,1,4,0,1,10,6,3,5
"Ant38",12,4,67,9,2,6,0,7,8,0,5,10,17,10,13,0,6,9,2,7,16,19,2,3,27,1,34,12,5,10,3,9,26,0,3,1,12,1,0,23,6,0,0,5,14,0,5,10,0,14,11,14,1,6,19,5,9,9,4,4,9,0,13,10,8,7,17
"Ant60",7,10,34,5,1,7,5,4,2,5,0,11,1,2,9,0,7,3,0,4,1,25,1,1,8,9,1,2,3,0,6,2,8,1,1,7,2,1,0,8,4,0,0,10,10,0,1,6,0,7,0,1,0,3,4,3,1,12,3,1,7,6,0,8,14,3,0
"Ant76",13,2,28,2,0,1,10,7,1,10,11,0,5,3,36,0,14,4,0,8,1,47,20,0,23,1,6,11,4,2,6,1,0,3,8,15,4,3,0,0,2,0,0,1,4,0,1,3,0,15,8,4,7,6,4,3,1,21,2,2,11,0,1,5,17,4,8
"Ant148",4,1,29,0,1,5,4,0,8,17,1,5,0,5,9,0,17,2,0,3,1,54,2,0,6,0,4,11,1,2,3,2,2,9,0,3,6,0,0,5,4,0,2,0,2,0,18,3,0,5,7,2,2,10,4,0,8,10,3,7,12,0,0,9,15,0,20
"Ant158",3,0,46,10,14,14,0,0,3,10,2,3,5,0,8,1,0,0,3,4,12,17,2,4,15,1,14,5,3,4,1,4,2,11,4,0,3,3,4,17,22,0,1,1,8,0,4,7,0,2,0,4,1,6,5,6,0,2,4,2,7,0,6,4,6,15,15
"Ant191",10,5,33,14,9,3,7,5,10,13,9,36,9,8,0,1,13,9,14,25,16,30,3,16,14,8,13,11,16,20,6,2,17,8,21,9,13,13,6,22,10,0,10,12,18,4,10,17,0,40,20,6,1,2,7,19,8,12,23,13,6,10,6,8,17,14,16
"Ant202",0,0,16,0,3,23,0,0,3,0,0,0,0,1,1,0,0,0,14,0,0,0,0,14,1,0,15,0,1,0,0,22,3,0,0,0,0,16,20,12,0,11,12,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,2,0,0,11,0
"Ant209",28,4,34,2,0,7,9,4,9,6,7,14,17,0,13,0,0,4,0,6,2,24,3,0,23,7,3,2,2,4,12,1,6,4,2,14,3,1,0,3,3,0,0,2,5,0,16,2,0,16,6,4,5,7,7,1,1,17,6,4,26,0,0,10,29,1,1
"Ant252",12,5,34,8,2,1,6,8,25,9,3,4,2,0,9,0,4,0,0,5,1,7,0,2,17,13,5,9,1,1,9,2,4,8,0,3,4,5,1,0,16,0,0,1,6,4,0,0,0,3,4,5,9,20,3,2,19,6,1,4,1,2,4,7,10,5,5
"Ant268",1,0,14,8,2,31,1,1,7,2,0,0,0,3,14,14,0,0,0,14,2,0,0,22,0,0,17,0,4,0,0,36,22,0,7,0,1,17,29,10,2,4,6,0,30,34,0,16,1,0,0,3,1,5,1,7,0,0,4,9,0,26,17,1,0,15,0
"Ant311",14,2,23,16,6,12,8,5,3,7,4,8,3,4,25,0,6,5,14,0,24,13,6,4,9,6,30,2,10,2,3,16,7,5,3,9,9,4,2,5,13,0,6,5,5,0,4,3,0,9,17,13,5,4,2,18,15,2,28,5,14,4,13,2,6,3,3
"Ant518",2,0,27,6,4,3,5,0,3,16,1,1,1,12,16,0,2,1,2,24,0,8,2,0,21,1,13,10,3,4,0,5,0,1,8,3,2,10,0,6,18,0,8,7,19,0,1,1,0,7,1,7,0,9,1,1,1,6,1,2,10,0,8,3,1,12,4
"Ant0",47,3,58,5,4,4,9,1,19,19,25,47,54,17,30,0,24,7,0,13,8,0,10,0,63,1,18,22,5,59,15,0,3,6,21,13,10,1,0,11,17,0,0,10,12,0,8,7,0,15,1,10,4,18,8,1,7,9,10,7,12,0,1,30,11,9,55
"Ant32",14,9,17,17,0,1,0,10,2,2,1,20,2,2,3,0,3,0,0,6,2,10,0,0,13,12,7,8,4,3,6,0,3,1,15,9,1,0,0,8,0,0,0,5,9,0,0,1,0,9,27,0,20,5,1,9,20,2,2,2,1,0,1,2,0,0,0
"Ant43",1,0,35,2,6,19,7,1,3,3,1,0,0,4,16,14,0,2,22,4,0,0,0,0,5,0,18,1,10,0,3,29,15,0,7,0,1,15,48,9,1,26,6,0,10,15,0,2,3,0,0,0,0,1,1,3,1,2,6,8,1,32,7,0,0,23,2
"Ant44",13,1,35,5,4,8,2,9,42,27,8,23,6,15,14,1,23,17,0,9,21,63,13,5,0,0,23,16,8,9,29,3,5,21,5,12,5,0,0,6,9,0,0,8,11,1,21,4,0,45,13,1,8,4,10,16,5,20,6,1,9,0,1,11,12,10,30
"Ant50",4,31,22,2,0,1,6,12,8,1,9,1,0,1,8,0,7,13,0,6,1,1,12,0,0,0,0,14,4,4,12,0,3,7,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,3,0,3,12,13,7,2,1,10,0,0,0,0,2,1,16,0,0
"Ant55",16,2,32,8,9,16,10,4,11,34,1,6,4,14,13,15,3,5,17,30,13,18,7,18,23,0,0,4,8,8,3,14,12,5,19,4,5,3,7,22,9,6,18,7,12,14,6,12,0,7,10,7,3,2,7,25,7,10,18,7,8,2,6,4,7,16,14
"Ant63",10,4,21,13,1,0,0,2,7,12,2,11,11,5,11,0,2,9,0,2,10,22,8,1,16,14,4,0,0,6,10,2,3,14,8,1,1,0,0,12,10,0,0,5,2,0,2,3,0,2,2,0,6,6,8,0,1,0,7,2,2,0,5,12,13,7,4
"Ant91",6,2,28,12,3,16,24,3,2,5,3,4,1,3,16,1,2,1,4,10,3,5,4,10,8,4,8,0,0,0,0,18,11,0,4,9,2,11,3,4,8,2,0,1,13,4,1,16,0,3,4,13,2,2,4,27,6,9,8,18,1,27,14,0,1,8,5
"Ant97",28,2,31,1,0,1,0,0,11,10,0,2,2,4,20,0,4,1,0,2,4,59,3,0,9,4,8,6,0,0,7,0,1,10,7,0,3,0,0,1,1,0,0,1,6,0,4,0,0,3,3,6,4,1,11,0,7,0,0,5,0,0,0,12,1,0,8
"Ant98",1,4,18,1,0,2,0,1,4,3,6,6,3,1,6,0,12,9,0,3,0,15,6,3,29,12,3,10,0,7,0,4,2,7,0,4,3,8,0,1,2,0,0,2,0,0,2,2,0,25,2,0,21,8,9,8,4,22,3,1,19,0,1,5,5,0,1
"Ant100",6,0,29,6,21,12,3,2,5,9,2,1,2,4,2,22,1,2,36,16,5,0,0,29,3,0,14,2,18,0,4,0,28,1,9,0,1,9,28,9,0,20,15,0,12,20,0,8,15,0,1,0,0,1,0,5,1,2,8,22,0,29,20,1,4,4,6
