"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant19","Ant26","Ant30","Ant38","Ant60","Ant76","Ant158","Ant191","Ant196","Ant252","Ant308","Ant518","Ant0","Ant13","Ant23","Ant27","Ant32","Ant43","Ant44","Ant50","Ant97","Ant109","Ant115","Ant117","Ant124","Ant127","Ant131","Ant137","Ant149","Ant159","Ant169","Ant176","Ant178","Ant186","Ant190","Ant198","Ant207","Ant215","Ant218","Ant219","Ant238","Ant242","Ant243","Ant255","Ant289","Ant298","Ant324","Ant342","Ant347","Ant380","Ant390","Ant394","Ant395","Ant458","Ant475","Ant482","Ant492","Ant501","Ant538","Ant560","Ant564"
"Ant4",0,5,0,0,0,0,0,2,0,0,3,0,1,0,0,9,13,0,2,10,0,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,0,7,6,0,0,0,6,2,0,3,0,1,0,0,0,0,0,0,13,0,3,0,0,0,0,0,0,0,0,0,0,0
"Ant260",5,0,25,3,5,8,5,10,7,4,0,0,6,2,4,9,16,3,11,22,0,8,4,3,9,9,3,11,9,2,10,4,12,1,4,4,1,13,12,0,7,4,15,23,10,9,2,5,0,11,3,2,3,10,15,0,1,1,8,12,16,8,2,0,0,6,17,1
"Ant52",0,25,0,0,16,0,7,0,11,10,1,2,1,4,4,10,6,1,0,4,7,2,2,0,9,1,1,16,9,3,15,5,1,2,1,4,1,1,0,0,9,8,15,0,7,0,4,4,5,23,10,0,17,4,3,0,6,6,4,1,10,6,7,1,1,3,20,0
"Ant540",0,3,0,0,1,0,1,0,0,4,0,21,0,5,5,0,0,2,0,1,3,1,0,1,4,0,1,8,10,12,0,3,0,0,16,0,13,0,0,4,0,1,1,0,2,0,6,0,12,3,0,1,3,0,0,14,1,7,4,3,0,0,2,27,10,2,0,0
"Ant6",0,5,16,1,0,0,2,8,8,1,1,0,0,2,1,2,4,3,0,19,2,0,3,2,5,6,5,0,5,3,11,0,10,0,1,3,0,1,0,0,2,5,13,5,28,6,0,1,0,3,7,0,0,0,14,0,21,0,7,7,7,10,2,0,4,10,1,0
"Ant7",0,8,0,0,0,0,0,10,0,0,0,0,19,0,0,22,9,0,26,72,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,15,13,0,0,0,11,67,0,7,0,0,0,0,0,0,0,0,13,0,3,0,0,4,0,0,0,0,0,0,0,0
"Ant9",0,5,7,1,2,0,0,0,0,3,0,4,0,9,7,0,0,15,1,2,5,0,3,4,30,1,1,6,5,6,1,7,1,12,11,2,1,1,0,2,2,6,0,0,7,0,3,0,0,0,1,0,1,1,2,3,1,8,0,3,0,1,7,3,1,3,5,4
"Ant19",2,10,0,0,8,10,0,0,4,0,0,0,7,0,0,7,14,2,9,5,0,0,2,0,0,1,3,0,4,0,7,1,6,0,2,8,0,3,9,0,3,0,15,9,1,7,0,2,0,0,0,0,0,0,12,0,17,0,0,9,1,9,4,0,0,4,0,0
"Ant26",0,7,11,0,8,0,0,4,0,3,4,0,3,1,0,49,6,8,10,56,0,0,0,4,5,15,1,2,0,1,9,1,20,0,3,6,0,0,0,1,1,3,7,13,58,11,0,8,1,2,3,0,3,1,33,1,34,0,0,3,17,5,1,1,0,25,3,0
"Ant30",0,4,10,4,1,0,3,0,3,0,0,4,0,10,1,0,2,5,0,0,8,11,0,3,11,0,4,12,17,3,0,5,0,8,11,0,9,2,0,17,3,6,0,0,2,0,3,0,7,7,2,7,2,11,2,5,0,10,4,1,1,0,6,5,7,2,2,4
"Ant38",3,0,1,0,1,0,0,0,4,0,0,0,2,0,0,12,12,0,1,5,0,0,1,0,0,3,6,0,0,0,5,0,2,0,0,7,0,4,21,0,0,0,9,2,6,1,0,6,0,1,3,0,0,0,15,0,8,0,1,1,4,4,0,0,0,17,0,0
"Ant60",0,0,2,21,0,0,4,0,0,4,0,0,0,14,22,0,0,0,0,1,0,4,0,2,2,3,0,72,1,16,2,1,5,10,2,0,16,0,0,1,0,0,0,0,0,0,24,0,26,3,0,23,0,2,0,21,0,6,1,0,0,1,0,48,19,0,1,20
"Ant76",1,6,1,0,0,19,0,7,3,0,2,0,0,0,0,12,10,1,3,11,0,0,10,0,0,3,1,0,0,1,10,0,10,2,1,2,0,3,14,0,3,4,30,11,7,5,0,10,0,5,1,0,0,0,15,0,8,0,0,1,5,1,0,0,0,2,1,0
"Ant158",0,2,4,5,2,0,9,0,1,10,0,14,0,0,0,2,2,17,1,5,10,5,9,21,26,1,14,24,15,37,0,25,0,11,11,7,8,0,0,16,1,11,0,0,10,0,5,0,6,5,4,9,10,2,0,7,3,13,6,1,1,0,3,6,2,0,7,4
"Ant191",0,4,4,5,1,0,7,0,0,1,0,22,0,0,0,2,1,5,0,1,1,11,0,0,8,3,0,19,8,4,2,7,0,3,9,0,1,0,0,22,0,6,3,1,7,0,6,0,0,3,0,2,1,6,1,0,1,6,0,1,2,4,4,1,14,2,0,3
"Ant196",9,9,10,0,2,22,0,7,49,0,12,0,12,2,2,0,15,2,3,26,1,2,6,6,1,3,9,1,4,0,6,1,11,0,0,14,0,4,4,0,5,7,32,9,7,8,1,11,2,7,4,0,0,1,6,0,7,0,9,19,16,9,0,0,0,20,8,0
"Ant252",13,16,6,0,4,9,0,14,6,2,12,0,10,2,1,15,0,3,16,10,3,0,3,1,3,0,0,0,4,1,13,2,11,0,3,0,2,4,9,0,0,4,6,15,10,5,0,3,2,4,0,1,2,1,14,1,5,0,0,5,7,4,0,2,0,2,3,0
"Ant308",0,3,1,2,3,0,15,2,8,5,0,0,1,17,5,2,3,0,0,3,6,2,10,5,45,2,9,4,20,6,3,3,0,0,2,1,0,0,0,3,8,1,0,2,5,0,1,1,1,7,9,0,1,4,0,0,0,10,3,2,3,2,8,4,2,13,2,1
"Ant518",2,11,0,0,0,26,1,9,10,0,1,0,3,1,0,3,16,0,0,20,0,0,2,1,0,0,1,0,0,0,0,0,6,0,0,13,0,6,11,0,0,0,14,11,4,6,0,9,0,0,1,0,0,0,9,1,4,0,0,3,5,8,0,0,0,2,0,1
"Ant0",10,22,4,1,19,72,2,5,56,0,5,1,11,5,1,26,10,3,20,2,6,1,2,2,1,17,2,0,4,1,8,12,14,1,1,13,0,10,12,0,6,6,38,21,42,23,0,18,1,3,8,0,0,0,22,1,20,2,4,9,38,15,3,0,2,12,5,0
"Ant13",0,0,7,3,2,0,5,0,0,8,0,0,0,10,1,1,3,6,0,6,0,1,0,1,2,1,4,2,1,5,0,5,0,3,4,1,5,0,0,7,8,2,1,1,1,0,4,0,2,3,0,1,3,16,1,0,2,8,6,2,1,0,0,1,11,0,3,3
"Ant23",0,8,2,1,0,0,0,0,0,11,0,4,0,5,11,2,0,2,0,1,1,0,0,0,6,0,0,8,4,8,2,3,0,5,4,0,8,0,0,8,7,0,0,1,40,3,1,0,4,5,0,0,8,7,3,10,0,3,2,0,0,0,2,7,12,1,0,10
"Ant27",0,4,2,0,3,0,3,2,0,0,1,0,10,9,0,6,3,10,2,2,0,0,0,4,1,5,9,0,5,1,1,0,1,1,0,5,0,0,0,1,3,4,2,3,3,1,0,2,2,0,0,0,0,0,11,0,7,0,2,4,0,3,1,0,3,7,13,0
"Ant32",0,3,0,1,2,0,4,0,4,3,0,2,0,21,0,6,1,5,1,2,1,0,4,0,2,0,1,2,1,0,0,1,3,1,0,4,0,0,0,0,6,4,5,1,7,3,1,0,0,2,4,1,0,4,1,0,0,1,2,4,0,6,2,1,2,0,1,0
