"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant19","Ant26","Ant30","Ant60","Ant76","Ant158","Ant191","Ant196","Ant252","Ant308","Ant518","Ant0","Ant13","Ant23","Ant27","Ant43","Ant50","Ant97","Ant109","Ant115","Ant117","Ant124","Ant137","Ant159","Ant178","Ant186","Ant190","Ant215","Ant219","Ant238","Ant242","Ant243","Ant255","Ant289","Ant324","Ant342","Ant347","Ant380","Ant390","Ant394","Ant395","Ant458","Ant475","Ant482","Ant501","Ant560","Ant564"
"Ant4",0,16,5,2,18,19,6,16,5,1,1,11,0,1,17,4,0,0,11,0,5,5,0,8,0,3,1,9,6,3,0,1,2,5,10,0,5,0,5,13,0,1,17,0,14,1,0,11,15,4,0,0,15,0
"Ant260",16,0,13,1,18,28,3,9,5,22,5,11,1,7,24,10,0,0,11,0,0,15,2,1,5,17,1,9,10,9,0,6,8,17,24,0,1,3,7,15,3,10,37,1,26,5,1,11,22,18,8,0,4,0
"Ant52",5,13,0,7,0,6,10,10,8,5,14,2,10,2,29,10,13,0,0,1,3,0,3,0,20,8,18,6,1,5,0,6,7,3,15,1,0,5,10,5,2,20,2,0,2,6,4,1,2,5,2,1,0,1
"Ant540",2,1,7,0,0,1,3,0,4,5,4,0,8,14,5,1,4,0,0,15,3,0,8,0,17,3,9,1,0,43,20,6,1,0,0,3,10,7,4,0,4,6,0,4,0,7,2,1,0,0,0,4,0,0
"Ant6",18,18,0,0,0,28,0,4,0,6,1,14,0,2,27,16,8,0,10,0,0,2,1,0,1,9,0,5,4,0,1,0,3,2,40,0,6,0,8,5,0,7,21,1,15,0,0,12,15,7,3,0,4,0
"Ant7",19,28,6,1,28,0,1,19,1,0,4,23,0,1,53,12,0,0,13,2,4,7,2,4,2,3,0,14,10,2,0,0,4,2,18,1,19,0,16,87,0,2,47,0,147,0,0,30,42,45,0,0,8,0
"Ant9",6,3,10,3,0,1,0,2,4,6,4,0,4,6,10,4,9,0,1,10,4,4,1,0,14,11,7,6,0,0,0,9,3,2,21,1,0,8,5,8,0,4,8,2,0,4,0,2,0,0,1,2,0,9
"Ant19",16,9,10,0,4,19,2,0,2,10,1,18,0,2,21,14,0,0,28,0,2,26,0,14,2,5,4,14,1,0,0,0,24,4,25,0,5,0,3,5,0,2,18,0,16,0,1,9,14,13,2,1,20,1
"Ant26",5,5,8,4,0,1,4,2,0,4,8,1,5,0,20,5,9,0,1,10,10,1,4,0,13,5,11,3,11,4,1,5,1,7,25,1,8,1,8,1,1,9,0,1,5,2,6,3,11,5,1,8,0,2
"Ant30",1,22,5,5,6,0,6,10,4,0,13,3,10,13,22,2,10,0,3,6,8,4,4,0,20,2,15,2,1,3,2,0,6,14,28,11,1,10,0,2,2,24,2,0,3,21,11,1,5,2,2,4,0,3
