"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant9","Ant26","Ant30","Ant60","Ant158","Ant191","Ant196","Ant252","Ant518","Ant0","Ant13","Ant23","Ant27","Ant43","Ant97","Ant109","Ant115","Ant117","Ant124","Ant137","Ant159","Ant178","Ant186","Ant190","Ant215","Ant219","Ant242","Ant243","Ant289","Ant324","Ant342","Ant347","Ant380","Ant390","Ant475","Ant482","Ant560","Ant564"
"Ant4",0,5,0,0,12,0,0,0,0,0,0,43,4,0,6,0,0,12,0,0,0,0,2,19,0,0,0,4,0,0,0,0,4,0,0,23,0,19,0,3,8,18,0
"Ant260",5,0,32,4,9,6,29,3,10,8,4,46,34,0,18,0,1,13,22,5,21,8,15,6,0,17,5,25,31,14,1,1,24,1,4,29,0,28,16,5,12,18,0
"Ant52",0,32,0,4,0,8,21,10,26,19,8,18,19,0,13,1,7,10,3,34,34,7,9,0,0,4,15,7,19,9,5,2,5,1,11,2,0,2,9,3,0,1,3
"Ant540",0,4,4,0,0,4,1,1,0,10,7,6,0,0,0,5,8,0,3,4,2,21,2,0,7,3,5,0,0,3,5,11,0,4,7,0,13,3,0,1,0,0,9
"Ant6",12,9,0,0,0,0,0,0,0,0,0,26,9,0,5,0,0,3,0,0,1,0,7,14,0,0,0,7,0,0,0,0,3,0,0,29,0,33,0,2,28,7,0
"Ant9",0,6,8,4,0,0,7,0,10,5,2,23,3,0,10,0,0,6,7,8,4,3,2,0,0,8,5,2,5,16,2,3,1,1,8,1,0,1,19,3,0,1,0
"Ant26",0,29,21,1,0,7,0,0,15,8,0,27,14,0,15,0,0,7,3,8,4,0,6,0,0,7,1,4,8,6,1,0,4,0,1,6,0,7,17,0,0,3,0
"Ant30",0,3,10,1,0,0,0,0,5,5,3,27,1,0,0,2,4,0,4,5,2,2,0,0,3,4,6,0,10,2,9,7,2,2,28,2,0,0,0,0,0,0,1
"Ant60",0,10,26,0,0,10,15,5,0,8,9,18,7,0,2,6,0,1,4,117,19,11,1,0,1,10,8,6,6,23,7,3,11,5,17,1,1,3,6,14,0,3,1
"Ant158",0,8,19,10,0,5,8,5,8,0,0,20,2,0,2,16,9,5,1,17,4,16,0,0,0,24,7,0,1,2,6,8,0,3,3,1,1,1,37,4,0,0,0
"Ant191",0,4,8,7,0,2,0,3,9,0,0,16,6,0,2,8,2,1,4,8,4,20,0,0,1,11,10,0,1,6,14,12,4,4,3,0,0,0,1,5,0,7,0
"Ant196",43,46,18,6,26,23,27,27,18,20,16,0,37,0,32,8,3,42,9,9,23,13,15,38,0,22,8,10,24,15,6,8,22,9,6,31,0,52,25,15,58,27,0
"Ant252",4,34,19,0,9,3,14,1,7,2,6,37,0,0,9,1,1,9,0,6,3,1,5,1,0,12,2,8,7,9,2,1,15,1,7,13,3,12,8,16,0,41,1
"Ant518",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant0",6,18,13,0,5,10,15,0,2,2,2,32,9,0,0,0,2,10,1,1,8,0,3,8,0,3,0,19,2,0,0,0,5,0,0,5,0,12,7,2,16,23,0
"Ant13",0,0,1,5,0,0,0,2,6,16,8,8,1,0,0,0,4,0,4,15,1,14,1,0,0,0,2,0,0,3,7,22,1,0,28,0,0,2,0,1,0,0,1
"Ant23",0,1,7,8,0,0,0,4,0,9,2,3,1,0,2,4,0,0,2,6,1,7,0,0,10,6,8,0,0,0,7,15,0,7,5,0,0,0,0,3,0,0,37
"Ant27",12,13,10,0,3,6,7,0,1,5,1,42,9,0,10,0,0,0,1,0,17,0,9,14,0,1,1,14,4,11,2,0,6,1,1,9,0,9,16,6,21,28,0
"Ant43",0,22,3,3,0,7,3,4,4,1,4,9,0,0,1,4,2,1,0,8,0,12,0,0,0,2,2,0,1,1,2,4,4,3,27,0,0,0,3,0,0,0,8
"Ant97",0,5,34,4,0,8,8,5,117,17,8,9,6,0,1,15,6,0,8,0,32,14,9,0,10,30,14,0,5,22,9,6,5,18,14,1,3,0,2,4,0,1,4
"Ant109",0,21,34,2,1,4,4,2,19,4,4,23,3,0,8,1,1,17,0,32,0,7,10,0,0,14,1,5,6,36,7,2,9,2,2,6,0,2,4,11,0,9,0
"Ant115",0,8,7,21,0,3,0,2,11,16,20,13,1,0,0,14,7,0,12,14,7,0,2,0,1,4,9,0,0,12,6,10,5,7,21,1,1,0,1,5,0,0,1
"Ant117",2,15,9,2,7,2,6,0,1,0,0,15,5,0,3,1,0,9,0,9,10,2,0,2,0,4,0,2,4,3,0,1,2,0,0,9,0,11,1,5,5,10,1
"Ant124",19,6,0,0,14,0,0,0,0,0,0,38,1,0,8,0,0,14,0,0,0,0,2,0,0,0,0,9,0,0,0,0,4,0,0,25,0,38,0,13,27,9,0
"Ant137",0,0,0,7,0,0,0,3,1,0,1,0,0,0,0,0,10,0,0,10,0,1,0,0,0,0,5,0,0,0,12,18,0,13,0,0,8,0,0,0,0,0,32
"Ant159",0,17,4,3,0,8,7,4,10,24,11,22,12,0,3,0,6,1,2,30,14,4,4,0,0,0,1,1,7,3,1,3,10,0,4,2,0,0,6,5,0,1,0
"Ant178",0,5,15,5,0,5,1,6,8,7,10,8,2,0,0,2,8,1,2,14,1,9,0,0,5,1,0,1,2,2,5,1,1,6,9,0,0,0,5,4,0,0,5
"Ant186",4,25,7,0,7,2,4,0,6,0,0,10,8,0,19,0,0,14,0,0,5,0,2,9,0,1,1,0,2,4,0,0,2,0,0,5,0,3,2,3,1,9,0
"Ant190",0,31,19,0,0,5,8,10,6,1,1,24,7,0,2,0,0,4,1,5,6,0,4,0,0,7,2,2,0,4,2,0,8,1,0,1,0,1,0,1,0,6,0
"Ant215",0,14,9,3,0,16,6,2,23,2,6,15,9,0,0,3,0,11,1,22,36,12,3,0,0,3,2,4,4,0,23,4,5,4,3,0,3,1,0,6,0,0,2
"Ant219",0,1,5,5,0,2,1,9,7,6,14,6,2,0,0,7,7,2,2,9,7,6,0,0,12,1,5,0,2,23,0,15,4,13,8,0,1,0,0,3,0,1,4
"Ant242",0,1,2,11,0,3,0,7,3,8,12,8,1,0,0,22,15,0,4,6,2,10,1,0,18,3,1,0,0,4,15,0,5,6,0,1,5,0,0,0,0,0,32
"Ant243",4,24,5,0,3,1,4,2,11,0,4,22,15,0,5,1,0,6,4,5,9,5,2,4,0,10,1,2,8,5,4,5,0,0,5,9,0,15,4,10,4,13,0
"Ant289",0,1,1,4,0,1,0,2,5,3,4,9,1,0,0,0,7,1,3,18,2,7,0,0,13,0,6,0,1,4,13,6,0,0,2,0,0,0,0,0,0,0,3
"Ant324",0,4,11,7,0,8,1,28,17,3,3,6,7,0,0,28,5,1,27,14,2,21,0,0,0,4,9,0,0,3,8,0,5,2,0,0,0,1,0,2,0,0,2
"Ant342",23,29,2,0,29,1,6,2,1,1,0,31,13,0,5,0,0,9,0,1,6,1,9,25,0,2,0,5,1,0,0,1,9,0,0,0,0,30,0,9,28,30,0
