"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant19","Ant26","Ant30","Ant38","Ant60","Ant76","Ant158","Ant191","Ant196","Ant209","Ant252","Ant308","Ant311","Ant518","Ant0","Ant13","Ant23","Ant27","Ant32","Ant43","Ant44","Ant50","Ant97","Ant109","Ant115","Ant117","Ant124","Ant127","Ant131","Ant137","Ant142","Ant149","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant186","Ant190","Ant198","Ant207","Ant215","Ant217","Ant218","Ant219","Ant238","Ant242","Ant243","Ant255","Ant263","Ant289","Ant298","Ant324","Ant342","Ant347","Ant356","Ant380","Ant390","Ant394","Ant395","Ant437","Ant458","Ant462","Ant475","Ant482","Ant492","Ant501","Ant530","Ant538","Ant560","Ant564"
"Ant4",0,4,12,0,4,2,1,6,18,0,4,2,0,0,2,5,2,6,1,6,0,0,0,0,2,0,2,2,6,0,12,2,2,1,1,1,0,0,0,0,0,1,3,0,0,3,12,2,3,22,0,7,0,2,0,0,3,0,2,0,4,1,0,5,8,4,5,3,2,11,0,2,1,1,0,8,4,18,0
"Ant260",4,0,5,0,2,25,1,7,16,1,3,0,12,1,0,14,6,21,3,5,12,8,1,1,1,3,1,3,1,3,3,3,13,16,13,0,1,20,6,2,1,11,1,11,1,4,8,13,25,18,0,18,0,11,6,5,3,5,0,0,2,36,0,6,5,1,2,17,9,33,12,5,1,1,0,44,9,5,0
"Ant52",12,5,0,5,6,2,10,30,3,5,1,1,0,1,1,10,10,6,1,0,4,0,8,11,0,11,3,14,0,2,5,5,7,13,4,1,0,6,6,0,0,2,7,0,0,9,2,4,7,3,0,7,0,4,0,22,2,1,1,9,5,5,1,7,13,1,5,4,7,0,3,2,1,6,2,2,5,8,0
"Ant540",0,0,5,0,0,0,2,1,0,5,0,20,1,16,6,1,0,0,5,0,0,0,4,3,0,0,14,1,1,69,1,16,2,11,1,15,16,0,1,0,6,0,0,0,7,4,1,1,0,1,28,1,12,0,7,3,0,0,10,1,4,0,13,5,0,12,0,1,0,0,0,0,1,4,4,1,1,0,6
"Ant6",4,2,6,0,0,0,0,9,7,0,2,1,4,0,4,14,6,9,1,5,1,2,2,0,0,2,0,2,6,6,4,0,7,1,3,0,0,5,13,0,0,5,1,0,0,14,0,12,5,4,0,4,0,10,0,1,1,5,0,2,3,22,0,0,7,0,3,2,6,3,4,5,3,0,0,11,5,2,0
"Ant7",2,25,2,0,0,0,0,1,1,0,4,0,67,0,0,36,1,7,2,25,27,16,0,0,0,3,0,7,2,0,0,0,13,0,27,0,0,2,2,5,0,14,1,3,0,3,2,8,96,81,0,34,0,36,0,1,0,1,0,1,3,46,0,0,9,0,1,12,5,26,0,0,0,0,0,22,7,1,1
"Ant9",1,1,10,2,0,0,0,2,3,4,2,4,0,2,6,2,3,2,8,2,0,0,5,8,15,2,0,0,0,5,15,12,5,8,1,7,1,6,6,0,0,2,16,0,0,2,7,4,0,4,7,4,3,2,26,12,0,2,4,51,2,2,1,1,4,11,3,5,3,0,26,5,0,0,5,0,2,1,4
"Ant19",6,7,30,1,9,1,2,0,9,1,7,0,0,0,2,7,4,12,1,0,1,0,0,2,2,3,0,9,10,6,9,1,0,5,1,0,0,8,15,0,0,3,9,0,1,4,3,12,13,11,0,6,1,3,0,4,0,4,0,0,6,14,0,4,7,0,0,1,11,11,6,7,0,0,0,10,6,1,0
"Ant26",18,16,3,0,7,1,3,9,0,1,30,1,1,0,1,17,7,12,0,1,8,3,0,16,0,2,0,10,16,1,3,0,15,12,29,0,0,15,8,0,0,10,5,0,0,6,0,4,45,27,1,13,0,13,1,1,0,3,0,15,10,11,2,4,9,0,0,1,18,3,17,23,5,0,0,2,28,1,0
"Ant30",0,1,5,5,0,0,4,1,1,0,0,1,1,31,3,1,0,0,5,0,2,1,21,1,0,0,2,2,0,5,10,9,2,4,0,2,8,1,5,0,2,2,3,0,4,2,8,1,2,1,3,0,1,2,1,1,1,3,0,7,7,3,4,4,0,7,4,2,0,1,6,2,0,1,3,0,1,0,3
