"","Ant540","Ant6","Ant73","Ant148","Ant191","Ant252","Ant311","Ant27","Ant44","Ant97","Ant115","Ant117","Ant153","Ant176","Ant242","Ant263","Ant298","Ant332","Ant356","Ant475","Ant564","Ant593"
"Ant540",0,4,6,0,31,5,5,1,2,3,8,27,8,7,1,5,16,9,6,4,6,6
"Ant6",4,0,2,0,8,5,32,11,2,2,5,10,1,4,15,5,10,0,25,10,4,14
"Ant73",6,2,0,0,6,2,25,25,5,10,16,15,4,10,2,16,11,7,22,17,2,15
"Ant148",0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1
"Ant191",31,8,6,0,0,13,1,13,2,9,4,17,11,2,2,9,26,43,3,3,4,4
"Ant252",5,5,2,1,13,0,1,26,11,0,17,17,1,5,3,15,3,3,10,7,14,6
"Ant311",5,32,25,0,1,1,0,20,4,7,2,17,6,18,4,15,17,0,43,5,7,0
"Ant27",1,11,25,0,13,26,20,0,36,0,8,15,0,7,31,9,10,0,25,14,15,0
"Ant44",2,2,5,0,2,11,4,36,0,1,5,8,15,8,26,7,1,1,4,4,8,7
"Ant97",3,2,10,1,9,0,7,0,1,0,0,8,4,3,1,2,7,12,3,6,1,0
"Ant115",8,5,16,0,4,17,2,8,5,0,0,13,0,4,1,5,5,2,3,4,7,4
"Ant117",27,10,15,1,17,17,17,15,8,8,13,0,3,54,8,35,48,3,25,14,13,18
"Ant153",8,1,4,1,11,1,6,0,15,4,0,3,0,5,5,3,4,7,2,8,2,11
"Ant176",7,4,10,0,2,5,18,7,8,3,4,54,5,0,15,6,14,0,8,10,4,11
"Ant242",1,15,2,0,2,3,4,31,26,1,1,8,5,15,0,4,1,0,3,4,20,3
"Ant263",5,5,16,0,9,15,15,9,7,2,5,35,3,6,4,0,8,2,8,4,7,8
"Ant298",16,10,11,0,26,3,17,10,1,7,5,48,4,14,1,8,0,8,8,4,2,4
"Ant332",9,0,7,1,43,3,0,0,1,12,2,3,7,0,0,2,8,0,0,17,3,5
"Ant356",6,25,22,0,3,10,43,25,4,3,3,25,2,8,3,8,8,0,0,5,0,5
"Ant475",4,10,17,0,3,7,5,14,4,6,4,14,8,10,4,4,4,17,5,0,4,14
"Ant564",6,4,2,0,4,14,7,15,8,1,7,13,2,4,20,7,2,3,0,4,0,2
"Ant593",6,14,15,1,4,6,0,0,7,0,4,18,11,11,3,8,4,5,5,14,2,0
