"","Ant6","Ant73","Ant148","Ant191","Ant252","Ant27","Ant44","Ant97","Ant117","Ant176","Ant242","Ant263","Ant356","Ant475","Ant593"
"Ant6",0,9,0,1,17,19,22,3,15,4,16,2,13,19,8
"Ant73",9,0,0,1,26,13,37,3,11,8,11,13,15,11,9
"Ant148",0,0,0,1,1,0,1,2,1,3,1,1,0,3,1
"Ant191",1,1,1,0,0,0,0,2,1,4,1,1,0,0,0
"Ant252",17,26,1,0,0,2,23,5,23,12,13,29,13,11,0
"Ant27",19,13,0,0,2,0,16,4,24,8,5,2,11,5,0
"Ant44",22,37,1,0,23,16,0,1,6,6,15,26,22,28,17
"Ant97",3,3,2,2,5,4,1,0,22,6,2,0,9,6,2
"Ant117",15,11,1,1,23,24,6,22,0,20,39,10,10,11,11
"Ant176",4,8,3,4,12,8,6,6,20,0,5,7,9,3,13
"Ant242",16,11,1,1,13,5,15,2,39,5,0,17,26,9,2
"Ant263",2,13,1,1,29,2,26,0,10,7,17,0,7,5,1
"Ant356",13,15,0,0,13,11,22,9,10,9,26,7,0,12,2
"Ant475",19,11,3,0,11,5,28,6,11,3,9,5,12,0,3
"Ant593",8,9,1,0,0,0,17,2,11,13,2,1,2,3,0
