"","Ant4","Ant540","Ant6","Ant14","Ant19","Ant26","Ant73","Ant148","Ant158","Ant191","Ant202","Ant252","Ant311","Ant518","Ant0","Ant23","Ant27","Ant32","Ant44","Ant97","Ant115","Ant117","Ant140","Ant149","Ant153","Ant173","Ant176","Ant186","Ant217","Ant242","Ant255","Ant263","Ant289","Ant298","Ant332","Ant353","Ant356","Ant387","Ant475","Ant482","Ant501","Ant507","Ant530","Ant564","Ant593"
"Ant4",0,18,4,3,8,0,9,15,3,4,0,11,7,0,11,2,13,4,20,9,4,4,0,8,3,0,11,0,3,24,1,12,6,3,0,2,7,3,8,4,6,2,7,7,4
"Ant540",18,0,4,5,6,0,3,15,7,0,0,20,15,2,0,4,0,0,18,36,3,15,10,6,8,0,7,0,1,19,7,11,4,8,6,0,20,1,0,0,0,9,7,3,8
"Ant6",4,4,0,3,1,0,9,13,9,0,0,2,6,1,5,1,0,0,4,3,3,0,1,12,4,0,8,0,0,6,0,6,0,1,4,1,10,6,3,1,0,3,22,5,7
"Ant14",3,5,3,0,2,2,0,6,1,20,6,1,7,10,1,3,4,11,1,10,0,15,2,16,6,2,9,1,0,1,7,0,2,5,9,3,2,7,4,11,23,2,1,3,1
"Ant19",8,6,1,2,0,0,5,9,3,10,0,7,7,5,4,2,31,11,6,38,6,6,4,15,5,0,5,0,1,17,0,1,4,1,10,3,3,2,1,9,7,3,1,1,2
"Ant26",0,0,0,2,0,0,0,0,0,3,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant73",9,3,9,0,5,0,0,8,24,2,0,6,2,0,9,1,4,0,14,1,10,21,4,2,4,0,5,0,8,10,2,4,10,2,10,0,16,0,14,3,1,2,10,4,2
"Ant148",15,15,13,6,9,0,8,0,7,8,3,10,9,2,9,9,15,7,8,14,3,19,19,27,2,3,7,0,2,11,3,10,9,13,13,8,18,5,11,5,3,11,6,0,16
"Ant158",3,7,9,1,3,0,24,7,0,1,0,39,10,6,15,1,1,1,2,8,11,6,1,8,7,0,6,0,1,2,1,2,8,1,0,3,12,2,6,3,0,2,0,11,4
"Ant191",4,0,0,20,10,3,2,8,1,0,5,0,4,10,5,1,12,21,0,0,0,0,10,8,7,2,0,1,1,0,0,7,0,7,0,13,0,5,2,0,22,0,0,0,0
"Ant202",0,0,0,6,0,3,0,3,0,5,0,0,1,7,0,0,3,3,0,1,0,1,4,7,2,8,1,0,0,1,2,0,0,8,2,12,0,0,2,0,1,13,0,1,0
"Ant252",11,20,2,1,7,0,6,10,39,0,0,0,14,5,17,4,2,1,13,1,18,2,4,0,1,0,15,0,2,11,0,5,9,2,0,0,5,0,9,0,0,2,2,14,9
