"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant26","Ant30","Ant38","Ant148","Ant158","Ant191","Ant196","Ant202","Ant209","Ant268","Ant308","Ant620","Ant13","Ant27","Ant29","Ant32","Ant42","Ant43","Ant50","Ant55","Ant91","Ant97","Ant100","Ant113","Ant117","Ant137","Ant139","Ant142","Ant149","Ant156","Ant159","Ant169","Ant173","Ant195","Ant198","Ant207","Ant217","Ant218","Ant219","Ant242","Ant243","Ant255","Ant257","Ant263","Ant294","Ant318","Ant332","Ant342","Ant347","Ant353","Ant356","Ant387","Ant390","Ant394","Ant395","Ant437","Ant475","Ant492","Ant501","Ant527","Ant552"
"Ant4",0,1,3,11,0,0,1,0,0,0,10,1,0,6,0,11,0,2,5,5,0,2,1,1,0,25,0,1,4,9,2,0,2,0,0,10,1,0,10,0,0,1,0,0,0,3,1,0,42,9,0,0,3,0,0,5,4,1,0,0,6,0,2,0,5,0
"Ant260",1,0,9,0,6,15,12,0,6,3,11,12,0,18,2,7,0,3,0,3,10,8,3,7,16,0,0,11,14,0,2,0,1,5,0,0,5,20,0,4,0,3,4,4,7,0,5,0,0,0,3,1,0,0,3,1,0,0,0,7,3,2,0,0,0,10
"Ant52",3,9,0,5,0,2,2,0,1,2,1,6,0,0,4,5,0,5,5,0,0,2,1,6,3,19,0,11,0,12,0,2,4,0,0,33,15,4,1,2,4,1,8,1,21,4,1,0,9,1,0,4,0,0,3,3,0,1,0,1,4,0,0,0,8,2
"Ant540",11,0,5,0,0,1,15,0,0,1,21,1,0,4,0,2,0,6,6,2,1,2,6,4,0,17,0,8,0,3,0,0,1,1,0,6,0,0,0,1,0,0,5,0,7,1,43,0,4,0,0,1,1,0,3,1,5,0,0,0,3,0,0,0,4,0
"Ant6",0,6,0,0,0,6,3,2,3,1,0,0,26,0,3,2,1,2,3,0,0,5,0,6,6,1,13,6,10,1,16,14,0,7,2,5,8,28,1,11,7,10,4,14,1,0,0,10,1,1,5,1,15,5,1,4,0,31,21,7,3,14,1,4,12,11
"Ant26",0,15,2,1,6,0,3,5,6,2,0,9,1,4,7,2,1,4,3,3,0,23,9,5,2,0,6,13,1,6,21,5,6,12,1,9,7,4,14,8,6,0,1,3,0,5,0,2,10,8,17,0,29,8,0,1,1,4,0,15,26,17,5,0,8,20
"Ant30",1,12,2,15,3,3,0,0,1,4,2,20,0,2,11,5,2,3,4,2,6,7,4,3,0,29,1,3,9,7,5,0,1,4,0,2,2,1,3,0,1,0,28,1,7,19,5,1,8,11,0,4,4,0,4,3,21,0,0,3,2,0,16,0,11,1
"Ant38",0,0,0,0,2,5,0,0,1,5,0,4,0,1,12,4,11,0,0,0,2,1,5,13,1,0,10,5,0,0,8,2,1,2,1,2,0,0,8,2,15,0,5,2,0,2,0,4,2,1,2,4,4,0,0,7,5,1,0,6,9,4,4,0,12,1
"Ant148",0,6,1,0,3,6,1,1,0,6,0,5,0,1,33,14,1,0,1,2,1,0,2,8,6,2,3,5,2,14,6,0,26,6,0,2,0,7,14,1,11,0,15,0,10,2,0,0,7,16,5,5,0,1,3,62,6,0,4,0,16,0,9,0,37,2
"Ant158",0,3,2,1,1,2,4,5,6,0,0,12,0,0,11,2,2,16,0,1,3,26,12,18,3,0,15,19,1,10,18,1,1,11,0,3,4,8,5,3,5,0,21,3,0,3,0,1,9,0,11,10,3,6,0,9,5,0,0,22,14,2,2,0,17,0
"Ant191",10,11,1,21,0,0,2,0,0,0,0,2,0,28,0,1,0,0,1,10,19,0,1,8,0,76,1,5,0,0,1,0,3,2,0,3,0,0,7,0,0,0,0,0,15,8,34,0,2,15,2,0,2,0,3,6,14,0,0,1,1,2,0,0,8,0
