"","Ant52","Ant30","Ant148","Ant191","Ant196","Ant209","Ant308","Ant13","Ant27","Ant29","Ant32","Ant43","Ant50","Ant91","Ant97","Ant100","Ant139","Ant156","Ant159","Ant195","Ant207","Ant218","Ant242","Ant243","Ant263","Ant294","Ant318","Ant332","Ant353","Ant387","Ant492"
"Ant52",0,4,2,4,13,4,6,0,8,0,0,2,6,0,5,2,0,0,1,0,0,17,2,9,7,1,0,5,0,3,4
"Ant30",4,0,1,7,14,4,4,0,0,0,2,3,5,4,2,2,0,0,2,8,5,5,5,9,1,1,0,2,0,13,2
"Ant148",2,1,0,2,10,1,1,0,0,0,1,5,1,0,7,9,0,0,7,21,5,7,7,4,4,10,1,2,1,5,3
"Ant191",4,7,2,0,4,10,3,4,4,8,4,0,1,35,0,0,0,0,0,2,1,2,3,4,5,2,0,3,17,5,6
"Ant196",13,14,10,4,0,12,8,5,2,0,2,6,3,0,4,1,0,0,9,9,0,9,1,0,9,3,0,4,0,4,7
"Ant209",4,4,1,10,12,0,3,2,6,0,8,4,9,21,1,3,0,0,0,1,0,15,14,16,1,0,4,4,2,5,1
"Ant308",6,4,1,3,8,3,0,7,12,0,0,6,17,2,8,12,0,0,9,9,10,15,21,10,6,1,1,1,0,1,16
"Ant13",0,0,0,4,5,2,7,0,0,0,2,3,12,1,11,9,0,0,9,5,12,33,15,13,3,7,2,22,0,0,3
"Ant27",8,0,0,4,2,6,12,0,0,0,3,5,1,9,3,21,0,0,1,4,1,7,1,19,2,7,0,5,3,2,7
"Ant29",0,0,0,8,0,0,0,0,0,0,0,4,0,28,0,0,0,0,0,0,5,2,0,0,7,1,0,0,8,0,0
"Ant32",0,2,1,4,2,8,0,2,3,0,0,0,7,40,5,10,2,0,0,3,0,0,4,49,3,5,0,1,11,0,0
"Ant43",2,3,5,0,6,4,6,3,5,4,0,0,1,0,1,2,0,0,8,10,11,25,5,0,10,1,0,1,0,1,9
"Ant50",6,5,1,1,3,9,17,12,1,0,7,1,0,0,6,9,0,1,9,12,19,36,10,20,1,20,11,25,0,5,7
"Ant91",0,4,0,35,0,21,2,1,9,28,40,0,0,0,0,23,0,0,1,5,0,2,8,1,6,0,0,2,13,6,4
"Ant97",5,2,7,0,4,1,8,11,3,0,5,1,6,0,0,7,0,0,12,31,2,99,6,13,5,17,0,6,1,4,10
"Ant100",2,2,9,0,1,3,12,9,21,0,10,2,9,23,7,0,0,0,4,5,16,23,21,35,6,0,9,28,0,2,1
"Ant139",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
"Ant156",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0
"Ant159",1,2,7,0,9,0,9,9,1,0,0,8,9,1,12,4,0,0,0,17,7,21,3,3,0,11,0,7,0,4,9
"Ant195",0,8,21,2,9,1,9,5,4,0,3,10,12,5,31,5,0,0,17,0,4,38,14,8,2,14,3,6,0,1,13
"Ant207",0,5,5,1,0,0,10,12,1,5,0,11,19,0,2,16,0,0,7,4,0,63,13,6,13,9,0,11,0,1,4
"Ant218",17,5,7,2,9,15,15,33,7,2,0,25,36,2,99,23,0,0,21,38,63,0,26,12,4,21,0,12,0,6,20
"Ant242",2,5,7,3,1,14,21,15,1,0,4,5,10,8,6,21,7,0,3,14,13,26,0,4,5,4,6,29,0,0,6
"Ant243",9,9,4,4,0,16,10,13,19,0,49,0,20,1,13,35,0,0,3,8,6,12,4,0,0,1,4,10,14,4,1
"Ant263",7,1,4,5,9,1,6,3,2,7,3,10,1,6,5,6,0,0,0,2,13,4,5,0,0,3,5,3,0,2,2
"Ant294",1,1,10,2,3,0,1,7,7,1,5,1,20,0,17,0,0,0,11,14,9,21,4,1,3,0,1,4,1,0,6
"Ant318",0,0,1,0,0,4,1,2,0,0,0,0,11,0,0,9,0,5,0,3,0,0,6,4,5,1,0,8,0,0,0
"Ant332",5,2,2,3,4,4,1,22,5,0,1,1,25,2,6,28,0,5,7,6,11,12,29,10,3,4,8,0,0,0,0
"Ant353",0,0,1,17,0,2,0,0,3,8,11,0,0,13,1,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0
"Ant387",3,13,5,5,4,5,1,0,2,0,0,1,5,6,4,2,0,0,4,1,1,6,0,4,2,0,0,0,0,0,2
"Ant492",4,2,3,6,7,1,16,3,7,0,0,9,7,4,10,1,0,0,9,13,4,20,6,1,2,6,0,0,0,2,0
