"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant26","Ant30","Ant38","Ant73","Ant148","Ant158","Ant191","Ant196","Ant202","Ant209","Ant268","Ant308","Ant620","Ant13","Ant27","Ant29","Ant32","Ant42","Ant43","Ant44","Ant50","Ant55","Ant91","Ant97","Ant100","Ant113","Ant117","Ant137","Ant139","Ant142","Ant149","Ant153","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant186","Ant195","Ant198","Ant207","Ant217","Ant218","Ant219","Ant232","Ant238","Ant242","Ant243","Ant255","Ant257","Ant263","Ant294","Ant318","Ant332","Ant342","Ant347","Ant353","Ant356","Ant387","Ant390","Ant394","Ant395","Ant437","Ant475","Ant492","Ant501","Ant527","Ant552","Ant593"
"Ant4",0,29,8,5,0,1,0,0,0,0,1,17,1,0,5,1,0,0,8,4,14,0,2,0,2,5,0,8,0,6,2,6,12,0,1,2,1,0,0,0,0,16,0,3,0,1,2,0,11,0,39,5,8,3,11,0,0,0,0,3,2,0,7,0,0,0,0,0,4,1,5,0,0,1,0
"Ant260",29,0,3,7,0,0,0,0,0,0,0,13,2,2,0,1,5,0,17,0,4,20,0,9,4,7,0,17,0,19,0,1,23,0,0,0,11,0,1,0,0,0,0,0,2,8,4,0,7,0,19,36,4,1,2,1,0,0,0,6,0,0,1,3,6,0,0,2,0,2,7,0,12,0,0
"Ant52",8,3,0,0,4,1,0,0,3,1,0,10,1,6,0,3,0,0,4,14,5,2,21,0,2,11,3,17,1,31,0,6,5,0,4,5,4,0,0,24,7,0,0,2,2,0,0,6,4,0,7,5,3,0,7,0,4,4,0,4,0,0,3,0,0,2,1,2,0,3,0,0,4,0,0
"Ant540",5,7,0,0,0,5,7,0,0,3,1,7,6,0,3,6,6,0,0,0,5,20,3,7,4,6,0,10,0,9,1,13,3,0,5,3,9,0,0,0,0,12,0,0,1,1,2,0,13,1,5,5,7,5,0,2,0,0,0,11,1,0,3,1,15,1,0,8,7,1,4,0,11,0,0
"Ant6",0,0,4,0,0,6,2,5,14,0,8,0,3,27,2,8,6,23,0,2,3,1,16,1,12,4,48,0,9,10,22,4,13,25,8,9,1,2,11,8,75,2,2,40,16,23,11,12,14,9,2,3,2,3,2,17,3,4,1,11,9,21,0,6,1,35,21,16,3,24,0,0,12,5,1
"Ant26",1,0,1,5,6,0,9,5,3,8,6,0,13,0,6,6,7,0,0,0,0,8,0,12,25,4,4,0,13,6,0,11,13,6,8,11,0,0,2,1,1,4,0,0,16,5,14,4,15,7,4,6,3,7,8,0,5,7,2,3,9,0,1,6,2,0,1,25,7,3,6,4,2,7,0
"Ant30",0,0,0,7,2,9,0,1,1,9,3,0,2,0,11,10,0,3,0,0,0,4,0,0,6,10,0,0,1,6,0,10,3,2,2,3,2,0,0,1,0,2,0,0,1,2,2,0,8,2,3,11,2,5,6,3,2,3,1,14,0,0,0,9,0,1,0,2,4,3,4,0,11,4,0
"Ant38",0,0,0,0,5,5,1,0,7,2,3,1,1,0,3,5,7,13,0,2,0,0,2,13,9,9,0,0,9,4,0,1,10,1,0,0,0,0,11,5,0,1,0,0,10,11,17,2,1,7,0,69,2,2,1,13,5,0,9,6,5,0,0,3,0,11,1,2,8,3,0,0,16,8,0
"Ant73",0,0,3,0,14,3,1,7,0,3,2,1,1,4,0,3,0,4,0,0,1,0,4,0,3,4,12,0,5,7,0,0,7,4,8,9,0,0,7,5,4,5,0,2,3,18,9,10,2,4,1,24,1,0,0,3,0,0,3,9,5,4,0,0,0,7,9,4,1,13,1,0,0,3,0
"Ant148",0,0,1,3,0,8,9,2,3,0,3,3,14,2,8,6,28,1,1,0,0,15,2,9,3,18,1,0,2,24,0,3,12,0,3,6,0,0,2,2,2,6,0,0,7,0,6,1,3,5,17,17,10,6,4,0,14,3,3,9,8,1,2,16,7,2,3,15,6,1,5,0,0,2,0
"Ant158",1,0,0,1,8,6,3,3,2,3,0,1,1,0,7,6,14,5,3,0,0,9,0,12,28,8,0,0,3,5,1,9,2,2,5,12,7,2,2,3,2,4,0,3,8,7,20,2,9,4,6,5,3,9,9,6,1,6,1,5,16,1,2,5,1,8,0,10,6,2,0,0,3,12,0
"Ant191",17,13,10,7,0,0,0,1,1,3,1,0,5,0,2,1,2,1,3,1,7,8,1,1,2,12,1,22,1,18,3,5,5,0,1,1,6,0,2,2,1,1,0,0,1,1,2,1,1,1,1,7,8,0,9,1,1,1,2,2,0,0,12,7,7,1,0,3,4,1,1,0,9,0,0
