"","Ant260","Ant52","Ant6","Ant7","Ant9","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant158","Ant196","Ant202","Ant209","Ant252","Ant268","Ant308","Ant311","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant42","Ant43","Ant55","Ant63","Ant91","Ant97","Ant98","Ant109","Ant113","Ant124","Ant127","Ant131","Ant137","Ant140","Ant149","Ant156","Ant159","Ant169","Ant176","Ant190","Ant195","Ant207","Ant215","Ant232","Ant242","Ant257","Ant263","Ant289","Ant324","Ant332","Ant353","Ant356","Ant380","Ant387","Ant395","Ant437","Ant458","Ant462","Ant482","Ant492","Ant501","Ant507","Ant530","Ant560","Ant593"
"Ant260",0,1,12,18,3,2,5,3,6,15,18,0,0,20,11,4,1,4,3,3,0,0,0,25,2,2,93,27,35,1,6,16,0,0,9,8,3,5,0,4,16,1,3,14,0,0,13,5,0,6,0,13,0,2,4,8,5,0,0,2,1,13,1,16,12,26,5,0,0,21,1
"Ant52",1,0,3,0,11,6,12,7,0,0,0,18,14,4,1,9,25,3,0,0,17,2,10,0,2,7,0,1,0,1,5,9,31,15,0,1,4,8,9,14,0,7,1,0,5,4,0,0,2,7,22,0,13,9,0,0,2,15,1,1,9,0,8,1,7,0,0,3,5,0,9
"Ant6",12,3,0,11,0,5,1,1,0,21,7,2,1,22,6,0,2,5,4,5,2,0,0,0,5,1,0,12,1,3,14,0,3,1,15,4,10,0,0,0,11,2,7,20,1,2,10,0,2,0,0,0,1,2,0,19,0,0,0,7,0,5,0,0,8,7,0,1,0,7,4
"Ant7",18,0,11,0,0,1,0,0,0,8,11,0,0,19,2,2,1,0,0,0,0,0,0,4,0,3,25,21,10,1,1,0,0,0,0,0,2,0,1,0,29,0,1,17,0,0,16,1,1,0,0,21,0,0,1,11,8,0,0,3,0,28,0,1,0,11,8,0,0,16,2
"Ant9",3,11,0,0,0,1,7,3,0,1,2,10,18,0,0,5,15,0,0,7,24,4,27,0,32,1,0,1,0,1,5,24,22,24,1,2,0,14,13,4,0,38,0,0,28,12,0,2,11,8,19,0,16,2,0,1,2,28,0,0,7,0,14,0,0,0,0,3,3,0,8
"Ant14",2,6,5,1,1,0,0,1,0,7,4,2,1,6,7,7,0,4,5,2,4,0,0,3,3,9,2,7,0,2,4,0,11,0,3,14,2,5,8,4,2,0,18,5,6,1,3,2,3,1,2,0,0,3,5,8,6,3,0,15,1,6,4,5,6,0,0,0,0,1,6
"Ant19",5,12,1,0,7,0,0,30,0,1,3,15,7,3,1,9,1,0,0,2,6,1,5,2,2,5,0,5,1,3,3,16,2,46,2,3,6,7,2,5,1,9,0,0,3,34,1,1,1,22,3,0,0,5,0,0,1,4,0,3,4,0,1,3,3,0,0,1,3,0,19
"Ant26",3,7,1,0,3,1,30,0,0,0,1,36,7,0,1,18,0,10,5,6,20,0,6,0,6,20,0,2,0,0,10,8,10,1,1,12,2,8,14,10,0,13,4,0,19,4,0,0,4,18,76,0,6,27,1,2,0,12,0,1,32,0,1,1,3,0,0,3,10,1,4
"Ant30",6,0,0,0,0,0,0,0,0,0,17,0,0,2,5,0,0,0,0,0,0,0,0,6,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,14,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,11,0,0,0,0
"Ant38",15,0,21,8,1,7,1,0,0,0,11,3,0,4,7,2,0,1,11,5,0,0,0,7,1,14,8,7,5,0,9,11,0,2,27,3,1,1,0,3,22,1,4,3,0,1,4,1,5,3,1,1,0,1,1,8,2,0,0,4,5,21,1,12,10,8,4,0,0,1,0
"Ant60",18,0,7,11,2,4,3,1,17,11,0,2,1,14,19,0,5,2,1,0,4,0,1,6,0,2,37,18,9,0,11,8,0,1,5,1,3,0,1,0,24,0,3,4,2,3,12,3,1,0,2,16,0,9,3,17,8,0,0,6,0,28,2,6,0,10,6,1,0,10,2
"Ant64",0,18,2,0,10,2,15,36,0,3,2,0,24,0,5,18,9,7,7,10,33,2,22,4,4,3,0,1,0,1,9,5,28,19,2,1,14,13,5,60,0,18,1,0,11,6,3,0,15,16,35,0,74,10,0,4,0,14,0,1,18,0,13,0,1,1,0,10,22,1,11
"Ant158",0,14,1,0,18,1,7,7,0,0,1,24,0,1,0,15,5,3,4,5,25,7,13,0,4,8,0,1,0,0,8,16,8,46,3,0,16,5,0,7,0,29,2,2,7,13,0,16,12,17,8,0,19,13,0,1,3,18,0,0,8,0,8,0,3,0,0,6,9,0,2
