"","Ant260","Ant52","Ant6","Ant7","Ant9","Ant14","Ant19","Ant26","Ant30","Ant60","Ant64","Ant158","Ant196","Ant202","Ant209","Ant268","Ant308","Ant311","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant42","Ant55","Ant91","Ant97","Ant98","Ant109","Ant113","Ant124","Ant131","Ant137","Ant140","Ant149","Ant159","Ant169","Ant190","Ant195","Ant232","Ant242","Ant257","Ant263","Ant289","Ant332","Ant353","Ant356","Ant380","Ant387","Ant395","Ant458","Ant492","Ant501","Ant507","Ant530","Ant593"
"Ant260",0,0,37,23,3,0,1,1,16,13,0,1,13,42,1,0,4,3,0,0,9,35,1,4,6,13,2,8,0,0,19,0,3,5,0,49,18,19,0,48,2,1,33,0,0,63,37,0,0,3,0,2,3,12,0,0,0
"Ant52",0,0,5,0,10,1,9,5,0,1,3,10,3,9,4,10,0,4,0,0,15,1,1,11,0,1,8,6,1,8,1,1,17,7,4,0,6,0,3,0,7,9,0,18,45,1,0,0,0,0,6,2,0,0,51,10,6
"Ant6",37,5,0,11,1,5,0,1,0,1,7,14,30,4,3,8,6,10,0,0,6,13,6,7,16,8,5,4,0,3,5,3,4,1,0,3,8,1,1,0,7,0,8,2,1,2,1,0,2,0,0,0,18,0,3,1,1
"Ant7",23,0,11,0,1,17,3,2,29,25,0,2,25,6,3,4,12,9,1,0,7,26,2,5,24,21,4,11,4,1,11,8,2,8,2,29,23,14,2,59,5,1,24,3,1,41,47,0,0,5,2,2,7,3,0,2,4
"Ant9",3,10,1,1,0,1,7,8,0,0,6,3,2,2,9,2,1,3,4,6,1,0,5,3,2,4,4,3,17,3,1,1,5,9,11,0,4,1,4,0,5,1,3,4,3,0,1,0,0,2,5,1,2,0,0,2,11
"Ant14",0,1,5,17,1,0,0,0,4,6,0,0,13,5,2,4,7,1,3,3,1,1,9,6,3,1,1,6,5,3,12,14,0,5,1,4,15,1,8,0,3,0,3,2,2,0,3,0,0,5,13,0,16,0,0,0,3
"Ant19",1,9,0,3,7,0,0,14,2,2,1,6,3,0,1,13,0,2,0,12,14,2,3,7,1,0,0,7,0,0,0,3,16,12,1,0,12,0,3,0,1,2,0,11,0,0,1,3,0,1,4,3,2,0,0,0,1
"Ant26",1,5,1,2,8,0,14,0,2,1,0,0,4,0,1,2,0,4,142,0,0,0,7,3,3,1,9,0,9,6,3,1,2,1,0,1,6,0,0,0,13,4,5,0,5,0,0,7,0,0,4,17,1,0,4,0,2
"Ant30",16,0,0,29,0,4,2,2,0,25,0,3,3,4,0,0,0,0,0,0,0,29,0,0,1,7,5,0,0,0,4,2,2,7,0,42,2,16,0,47,3,0,30,0,0,28,25,0,0,11,0,0,5,2,0,0,0
"Ant60",13,1,1,25,0,6,2,1,25,0,0,0,21,14,0,0,0,0,0,0,0,8,0,2,3,13,5,12,2,0,10,0,1,1,0,44,12,13,1,9,3,0,16,0,8,4,14,0,0,2,1,2,8,6,0,0,0
