"","Ant260","Ant52","Ant6","Ant7","Ant9","Ant19","Ant26","Ant64","Ant196","Ant209","Ant268","Ant308","Ant311","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant55","Ant91","Ant97","Ant109","Ant113","Ant124","Ant131","Ant137","Ant140","Ant149","Ant159","Ant169","Ant190","Ant195","Ant232","Ant263","Ant332","Ant380","Ant458","Ant492","Ant507","Ant530","Ant593"
"Ant260",0,0,13,14,0,5,0,0,48,6,24,12,5,1,1,5,11,3,3,31,18,2,0,23,21,3,11,5,6,32,21,0,8,8,1,3,0,2,36,1,0,8
"Ant52",0,0,7,0,4,5,0,4,0,1,0,0,0,29,0,0,2,8,2,2,2,6,1,6,1,20,1,1,0,8,0,0,0,3,2,4,0,11,1,0,5,5
"Ant6",13,7,0,1,2,9,0,0,21,5,12,20,1,0,4,3,19,9,11,16,6,6,0,17,6,19,2,4,0,12,0,1,0,22,2,6,1,2,36,0,3,8
"Ant7",14,0,1,0,0,0,0,0,29,0,1,0,0,0,0,0,14,0,0,1,0,0,0,5,0,0,0,0,10,1,13,0,53,1,0,0,0,0,1,0,0,0
"Ant9",0,4,2,0,0,0,0,0,0,3,0,0,0,32,0,0,0,0,0,0,0,17,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,102,0
"Ant19",5,5,9,0,0,0,0,0,4,7,1,1,10,18,2,2,8,3,52,4,1,13,4,6,9,6,6,0,0,7,0,2,0,0,6,3,0,15,5,4,0,2
"Ant26",0,0,0,0,0,0,0,0,2,0,3,1,2,0,0,4,1,9,0,0,0,47,19,3,5,5,4,16,0,3,2,0,0,2,1,12,0,13,4,1,0,1
"Ant64",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant196",48,0,21,29,0,4,2,0,0,5,19,15,8,1,0,1,12,1,6,42,10,7,0,18,16,3,17,5,25,10,35,6,32,10,1,5,1,2,18,0,0,6
"Ant209",6,1,5,0,3,7,0,0,5,0,2,2,3,2,0,0,0,1,4,1,0,9,0,0,1,4,0,0,1,11,0,10,0,1,0,0,0,6,5,0,1,8
"Ant268",24,0,12,1,0,1,3,0,19,2,0,4,0,0,1,0,8,12,4,17,12,5,0,13,4,2,0,3,1,17,6,1,2,7,0,10,0,2,15,0,0,9
"Ant308",12,0,20,0,0,1,1,0,15,2,4,0,2,0,1,5,5,6,5,7,15,2,0,3,2,2,2,1,9,12,0,0,0,6,4,9,1,3,13,0,1,1
"Ant311",5,0,1,0,0,10,2,0,8,3,0,2,0,0,8,0,9,5,2,8,7,3,2,13,5,2,16,0,1,9,0,1,0,2,0,11,0,0,15,0,0,3
"Ant620",1,29,0,0,32,18,0,0,1,2,0,0,0,0,1,0,1,22,5,0,0,7,0,7,0,1,0,0,0,0,0,0,0,2,3,0,0,2,1,6,26,2
"Ant0",1,0,4,0,0,2,0,0,0,0,1,1,8,1,0,0,1,0,2,1,3,3,0,1,4,1,0,0,0,1,0,2,0,0,0,1,0,1,2,0,0,5
"Ant13",5,0,3,0,0,2,4,0,1,0,0,5,0,0,0,0,1,0,3,2,1,5,1,3,5,13,0,6,0,3,0,1,0,10,0,3,0,4,4,11,3,3
"Ant23",11,2,19,14,0,8,1,0,12,0,8,5,9,1,1,1,0,1,0,28,8,23,3,39,9,3,16,1,13,12,10,1,17,5,1,4,0,3,8,1,0,7
"Ant27",3,8,9,0,0,3,9,0,1,1,12,6,5,22,0,0,1,0,29,1,9,1,4,8,3,6,9,5,0,18,0,1,0,15,2,25,0,5,9,4,2,7
"Ant29",3,2,11,0,0,52,0,0,6,4,4,5,2,5,2,3,0,29,0,5,13,4,0,4,1,7,39,3,0,5,1,8,0,8,0,0,0,1,7,0,0,12
"Ant55",31,2,16,1,0,4,0,0,42,1,17,7,8,0,1,2,28,1,5,0,7,1,0,43,2,8,1,0,7,14,3,0,8,1,0,0,1,0,29,1,0,2
"Ant91",18,2,6,0,0,1,0,0,10,0,12,15,7,0,3,1,8,9,13,7,0,18,1,7,5,0,15,3,0,14,0,3,0,7,0,2,0,3,5,0,1,3
"Ant97",2,6,6,0,17,13,47,0,7,9,5,2,3,7,3,5,23,1,4,1,18,0,5,5,0,13,10,4,0,13,1,17,0,1,33,20,2,18,9,4,5,17
"Ant109",0,1,0,0,0,4,19,0,0,0,0,0,2,0,0,1,3,4,0,0,1,5,0,0,2,2,0,0,0,0,0,0,0,0,0,8,0,4,1,2,0,3
"Ant113",23,6,17,5,0,6,3,0,18,0,13,3,13,7,1,3,39,8,4,43,7,5,0,0,9,1,15,0,7,46,2,2,5,16,2,0,0,1,16,0,0,4
"Ant124",21,1,6,0,0,9,5,0,16,1,4,2,5,0,4,5,9,3,1,2,5,0,2,9,0,5,14,3,5,12,4,5,0,7,4,17,0,9,28,2,0,4
"Ant131",3,20,19,0,2,6,5,0,3,4,2,2,2,1,1,13,3,6,7,8,0,13,2,1,5,0,5,15,0,6,0,7,0,8,3,22,0,4,3,14,0,5
"Ant137",11,1,2,0,0,6,4,0,17,0,0,2,16,0,0,0,16,9,39,1,15,10,0,15,14,5,0,4,1,6,1,7,0,5,0,4,0,2,10,0,0,17
"Ant140",5,1,4,0,0,0,16,0,5,0,3,1,0,0,0,6,1,5,3,0,3,4,0,0,3,15,4,0,0,1,0,4,0,0,1,1,0,0,5,0,0,6
"Ant149",6,0,0,10,0,0,0,0,25,1,1,9,1,0,0,0,13,0,0,7,0,0,0,7,5,0,1,0,0,1,1,0,16,2,0,1,0,0,2,0,0,0
"Ant159",32,8,12,1,0,7,3,0,10,11,17,12,9,0,1,3,12,18,5,14,14,13,0,46,12,6,6,1,1,0,1,2,0,13,0,1,1,3,23,0,0,7
"Ant169",21,0,0,13,0,0,2,0,35,0,6,0,0,0,0,0,10,0,1,3,0,1,0,2,4,0,1,0,1,1,0,0,14,0,0,0,1,1,7,0,0,0
"Ant190",0,0,1,0,0,2,0,0,6,10,1,0,1,0,2,1,1,1,8,0,3,17,0,2,5,7,7,4,0,2,0,0,0,4,8,22,0,7,2,19,11,5
"Ant195",8,0,0,53,0,0,0,0,32,0,2,0,0,0,0,0,17,0,0,8,0,0,0,5,0,0,0,0,16,0,14,0,0,0,0,0,0,0,3,0,0,0
"Ant232",8,3,22,1,0,0,2,0,10,1,7,6,2,2,0,10,5,15,8,1,7,1,0,16,7,8,5,0,2,13,0,4,0,0,0,1,0,3,37,7,0,63
"Ant263",1,2,2,0,1,6,1,0,1,0,0,4,0,3,0,0,1,2,0,0,0,33,0,2,4,3,0,1,0,0,0,8,0,0,0,2,0,1,0,0,25,0
"Ant332",3,4,6,0,0,3,12,0,5,0,10,9,11,0,1,3,4,25,0,0,2,20,8,0,17,22,4,1,1,1,0,22,0,1,2,0,0,14,1,0,0,1
"Ant380",0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Ant458",2,11,2,0,0,15,13,0,2,6,2,3,0,2,1,4,3,5,1,0,3,18,4,1,9,4,2,0,0,3,1,7,0,3,1,14,0,0,5,0,0,6
"Ant492",36,1,36,1,0,5,4,0,18,5,15,13,15,1,2,4,8,9,7,29,5,9,1,16,28,3,10,5,2,23,7,2,3,37,0,1,0,5,0,4,0,5
"Ant507",1,0,0,0,0,4,1,0,0,0,0,0,0,6,0,11,1,4,0,1,0,4,2,0,2,14,0,0,0,0,0,19,0,7,0,0,0,0,4,0,11,0
"Ant530",0,5,3,0,102,0,0,0,0,1,0,1,0,26,0,3,0,2,0,0,1,5,0,0,0,0,0,0,0,0,0,11,0,0,25,0,0,0,0,11,0,1
"Ant593",8,5,8,0,0,2,1,0,6,8,9,1,3,2,5,3,7,7,12,2,3,17,3,4,4,5,17,6,0,7,0,5,0,63,0,1,0,6,5,0,1,0
