"","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant158","Ant196","Ant202","Ant209","Ant252","Ant268","Ant308","Ant311","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant42","Ant43","Ant55","Ant63","Ant91","Ant97","Ant98","Ant100","Ant109","Ant113","Ant115","Ant124","Ant127","Ant131","Ant137","Ant139","Ant140","Ant149","Ant153","Ant156","Ant159","Ant169","Ant176","Ant186","Ant190","Ant195","Ant198","Ant207","Ant215","Ant219","Ant232","Ant242","Ant255","Ant257","Ant263","Ant289","Ant318","Ant324","Ant332","Ant342","Ant353","Ant356","Ant380","Ant387","Ant395","Ant437","Ant458","Ant462","Ant482","Ant492","Ant501","Ant507","Ant530","Ant552","Ant560","Ant564","Ant593"
"Ant260",0,0,4,12,29,0,1,0,2,13,2,19,0,0,8,21,0,1,1,4,0,0,0,0,23,0,1,22,31,74,6,1,1,0,2,0,14,3,0,0,0,6,3,0,38,3,0,4,23,0,27,0,1,23,3,0,4,0,0,1,3,0,3,0,0,8,15,2,0,0,0,0,30,1,3,3,23,3,0,0,7,17,0,0
"Ant52",0,0,5,0,0,6,7,23,6,0,0,2,1,9,1,1,6,10,0,1,4,7,8,7,1,11,7,0,3,0,5,9,10,16,6,18,5,1,2,4,10,2,10,5,0,3,10,3,0,7,0,5,4,4,9,15,6,0,6,1,2,18,4,3,1,2,0,3,12,0,3,10,0,9,0,36,1,0,7,6,1,0,8,7
"Ant540",4,5,0,0,1,7,2,18,24,2,2,3,14,23,1,3,13,15,4,4,14,15,4,4,6,24,6,3,1,2,3,5,5,11,9,8,14,13,12,6,20,16,17,4,0,5,15,14,0,1,3,17,16,1,11,6,21,20,21,4,0,23,28,6,13,6,0,3,13,0,16,8,8,8,0,25,11,0,10,17,8,3,2,23
"Ant6",12,0,0,0,1,0,6,1,0,3,13,5,0,0,11,21,0,9,1,7,1,2,1,1,4,0,6,22,9,4,9,2,2,0,6,1,3,6,1,0,0,3,0,0,2,3,0,0,3,1,32,0,5,8,13,0,11,0,1,1,10,3,0,1,0,5,1,3,0,0,2,0,9,1,19,0,4,0,0,0,7,5,2,2
"Ant7",29,0,1,1,0,0,3,0,1,23,12,8,0,0,19,17,0,0,0,0,0,0,0,0,14,0,0,4,3,5,0,2,0,0,3,0,2,4,2,0,0,0,3,2,26,6,0,3,14,0,28,0,5,8,4,0,1,0,0,2,3,0,0,0,0,2,12,18,0,0,1,0,15,0,2,4,12,4,0,0,1,3,0,0
"Ant9",0,6,7,0,0,0,6,6,20,0,0,0,5,15,3,0,36,17,1,1,0,19,9,9,2,6,7,0,0,2,7,11,3,26,6,21,5,1,2,4,26,10,32,31,1,25,10,19,0,22,0,13,8,0,6,22,3,0,0,0,0,11,1,6,13,3,0,2,26,0,0,8,0,17,0,5,0,0,1,13,2,0,13,0
"Ant14",1,7,2,6,3,6,0,7,1,0,0,1,1,2,7,2,3,5,0,7,6,5,2,2,7,3,1,3,0,3,3,16,6,3,5,3,11,4,0,0,6,3,21,2,1,8,0,0,0,1,6,0,5,1,10,7,11,3,3,2,3,1,0,6,1,4,3,11,13,0,0,1,6,6,4,13,6,0,2,0,4,3,2,0
"Ant19",0,23,18,1,0,6,7,0,4,0,1,4,7,14,7,2,0,24,19,12,12,11,7,3,7,22,6,0,0,0,4,5,4,2,4,2,9,8,7,5,2,9,15,5,1,5,5,22,0,6,0,0,1,0,2,9,6,2,0,5,1,7,9,14,15,12,0,7,2,0,12,13,2,17,1,9,9,0,11,5,4,1,5,8
"Ant26",2,6,24,0,1,20,1,4,0,0,0,0,19,9,2,0,18,5,17,2,7,10,0,8,0,14,11,0,0,0,0,22,10,6,5,38,2,1,2,8,21,6,21,2,0,6,10,9,0,24,0,20,24,0,3,26,15,18,4,0,0,20,3,27,1,1,0,5,37,0,15,14,0,10,0,1,1,0,0,11,0,0,16,4
"Ant30",13,0,2,3,23,0,0,0,0,0,0,8,0,0,20,16,0,0,0,1,0,0,0,0,13,0,3,9,14,9,3,0,0,0,6,0,2,3,3,0,1,0,0,0,1,0,0,2,7,0,22,0,0,1,2,0,4,0,0,0,3,0,0,0,0,9,2,2,0,1,1,0,20,0,4,4,9,2,0,0,3,2,0,0
"Ant38",2,0,2,13,12,0,0,1,0,0,0,9,0,0,9,21,0,6,0,9,2,6,0,1,0,0,3,9,4,4,8,0,6,0,10,0,2,4,3,0,2,4,4,0,1,0,3,14,6,0,12,0,0,5,4,0,7,3,0,2,1,0,1,0,8,10,1,3,0,0,2,2,13,1,1,0,12,0,0,0,9,6,1,4
"Ant60",19,2,3,5,8,0,1,4,0,8,9,0,0,0,36,18,0,0,0,6,3,0,0,4,8,0,5,21,14,11,11,2,1,0,8,2,3,23,1,0,2,6,7,0,4,0,0,9,9,0,22,0,2,8,14,0,3,0,0,10,15,1,0,0,0,19,7,14,0,1,0,1,7,2,3,3,9,0,1,1,3,5,0,0
"Ant64",0,1,14,0,0,5,1,7,19,0,0,0,0,3,5,1,24,0,4,2,4,23,6,4,3,21,16,0,1,4,0,6,10,11,13,24,3,0,1,14,12,18,23,14,3,24,0,13,0,8,0,7,1,0,1,16,5,4,0,3,0,14,1,5,15,0,0,0,6,0,0,13,0,19,14,16,0,0,0,8,2,0,9,4
"Ant158",0,9,23,0,0,15,2,14,9,0,0,0,3,0,0,0,5,10,7,0,8,2,2,10,3,10,6,0,1,0,0,9,1,32,1,14,1,8,17,4,4,19,8,15,5,20,5,5,0,14,0,2,3,2,5,0,2,1,25,1,0,2,6,14,6,1,0,0,27,0,0,1,0,7,0,0,0,0,10,17,1,6,14,0
