Ant_ID,colony,colony_act,tag_id,body_size,age(days),nb_foraging_events,group_period1,group_period2,period1to2,group_period3,period2to3,group_period4,period3to4,visits_to_brood,visits_to_nest_entrance,visits_to_rubbishpile,nb_interaction_nurses,nb_interaction_cleaners,nb_interaction_foragers,nb_interaction_queen
Ant462,4,1,462,127.566,0,57,F,F,same,NA,NA,NA,NA,0.363636,25.3636,0,7.2727273,56.818182,496.54545,0.09091
Ant380,4,1,380,140.118,40,0,N,N,same,N,same,N,same,202.091,0,0.454545,104,60.818182,23.454545,2
Ant311,4,1,311,142.524,40,17,C,F,switch,NA,NA,NA,NA,56.0909,2.27273,2.36364,88,217.09091,325.72727,3.091
Ant507,4,1,507,144.475,40,0,F,F,same,F,same,NA,NA,8.90909,3,0.272727,19.090909,130,699.27273,0.09091
Ant158,4,1,158,149.402,40,0,C,F,switch,F,same,NA,NA,128,0.545455,1.27273,53,131.90909,178.09091,0.4545
Ant159,4,1,159,153.264,40,0,N,N,same,N,same,NA,NA,159.455,0,0.181818,145.36364,85.727273,22.818182,11.18
Ant196,4,1,196,159.028,40,104,F,NA,NA,NA,NA,NA,NA,11.0909,32,0.818182,25.636364,100.09091,580.72727,0.2727
Ant27,4,1,27,160.353,40,0,C,F,switch,F,same,NA,NA,22,0.454545,194.909,108.36364,227.72727,167.18182,3.273
Ant169,4,1,169,161.83,40,0,N,N,same,N,same,NA,NA,129.727,0.181818,1.72727,193.36364,92,29.181818,21.45
Ant437,4,1,437,167.335,40,0,N,C,switch,NA,NA,NA,NA,73.4545,0.272727,3.18182,186.09091,132,47.090909,11
Ant156,4,1,156,173.046,40,0,N,N,same,N,same,N,same,372.182,0.181818,1.90909,230.09091,88.636364,26.454545,21.55
Ant400,4,1,400,140.918,57,0,C,C,same,F,switch,F,same,179,0.0909091,1.09091,146.81818,138,105.27273,3.182
Ant620,4,1,620,141.45,57,0,N,C,switch,NA,NA,NA,NA,137.909,0.909091,4.63636,161.63636,169.36364,68.363636,8.636
Ant14,4,1,14,145.344,57,17,F,NA,NA,NA,NA,NA,NA,3,27.6364,1.18182,4.9090909,58.272727,483.45455,0
Ant13,4,1,13,147.411,57,0,C,C,same,NA,NA,NA,NA,60.6364,0,0,153.63636,177.90909,99.363636,1.091
Ant538,4,1,538,150.376,57,0,N,N,same,N,same,N,same,1121,0.0909091,3.63636,231.63636,83.363636,18.272727,31.18
Ant255,4,1,255,151.42,57,9,F,F,same,F,same,F,same,0.363636,10.9091,0,9.6363636,81.363636,607.18182,0
Ant593,4,1,593,152.895,57,0,N,C,switch,C,same,F,switch,87.8182,0,1.81818,132.09091,137.63636,51.454545,3.182
Ant198,4,1,198,165.061,57,3,F,NA,NA,NA,NA,NA,NA,69.6364,3.36364,16.0909,26.090909,110.36364,400.18182,0
Ant52,4,1,52,170.848,57,0,N,N,same,N,same,NA,NA,324.545,0,0.818182,238.54545,142.09091,32.818182,17.45
Ant232,4,1,232,179.324,57,0,F,F,same,NA,NA,NA,NA,38.2727,0.0909091,0.545455,21.818182,142.72727,440.45455,0
Ant190,4,1,190,179.694,57,0,N,C,switch,N,switch,C,switch,409.455,0,0.181818,162.09091,134.90909,55.818182,11.27
Ant387,4,1,387,197.205,57,0,C,F,switch,C,switch,F,switch,21.3636,3.81818,2.18182,89,197.90909,179.90909,1.455
Ant115,4,1,115,124.338,71,0,C,F,switch,F,same,F,same,30.9091,0.818182,50.2727,37.636364,143.72727,88.181818,0.09091
Ant195,4,1,195,138.004,71,0,F,NA,NA,NA,NA,NA,NA,14.5455,1.63636,2.36364,1.3636364,6.9090909,347.45455,0.09091
Ant191,4,1,191,138.398,71,0,N,N,same,N,same,N,same,1215.64,1.90909,3.54545,316.63636,220.45455,98.090909,19.55
Ant308,4,1,308,142.144,71,1,F,F,same,F,same,NA,NA,80.2727,3.18182,40.3636,35.272727,131.36364,290.81818,0.2727
Ant109,4,1,109,152.086,71,0,C,F,switch,F,same,F,same,123,1.36364,6.54545,92.909091,123.72727,92.909091,0.5455
Ant9,4,1,9,152.712,71,1,F,NA,NA,NA,NA,NA,NA,4.81818,8,0.454545,1,12.272727,468.27273,0.09091
Ant142,4,1,142,160.028,71,143,F,F,same,NA,NA,NA,NA,9.27273,9.18182,0,10.272727,65.363636,870,0
Ant268,4,1,268,163.67,71,0,C,N,switch,C,switch,C,same,61.6364,0,1.90909,100,98.636364,74.272727,4.545
Ant32,4,1,32,126.732,85,50,F,F,same,F,same,F,same,0.636364,110.091,0,7.4545455,61.090909,630.09091,0
Ant100,4,1,100,135.93,85,162,F,F,same,F,same,NA,NA,2,24.9091,0.454545,12.272727,108.27273,1017.4545,0
Ant127,4,1,127,143.757,85,0,N,C,switch,C,same,F,switch,208.273,0.0909091,0.818182,129.81818,95.363636,41.818182,4.364
Ant98,4,1,98,153.183,85,13,F,F,same,F,same,NA,NA,7.45455,6.27273,0.545455,18,85.818182,463.18182,0.4545
Ant44,4,1,44,163.306,141,26,F,F,same,F,same,F,same,17.5455,27.3636,0.909091,32,135.72727,475.36364,0.3636
